scenario,region,sources,param,units,class1,class2,x,value
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),crops,class2,2010,16
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),forest,class2,2010,19.5
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),naturalOther,class2,2010,8.2
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),pasture,class2,2010,131.4
Local Data,Uruguay,MGAP1,aggLandAlloc,Land Allocation (1000 km^2),urban,class2,2010,1.2
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2010,12.18
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2010,16.726
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2010,12.011
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2015,12.793
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2015,24.074
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2015,14.351
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2020,14.77
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2020,26.33
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2020,17.154
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2025,16.329
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2025,28.389
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2025,19.899
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2030,18.015
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2030,30.703
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2030,22.458
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),building,class2,2035,19.887
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),industry,class2,2035,33.483
Local Data,Uruguay,BEN1,finalNrgbySec,Final Energy (TWh),transportation,class2,2035,24.702
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),a oil,class2,2010,22.181
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),b natural gas,class2,2010,0.749
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),c coal,class2,2010,0.031
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),d biomass,class2,2010,15.338
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),f hydro,class2,2010,11.646
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),g wind,class2,2010,0.07
Local Data,Uruguay,BEN1,primNrgConsumByFuel,Primary Energy Consumption (TWh),j traditional biomass,class2,2010,0
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),Fossil,class2,2010,1.153
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),g Biomass,class2,2010,0.272
Local Data,Uruguay,DNE1,elecByTech,Electricity Generation (TWh),k Hydro,class2,2010,8.21
