scenario,region,sources,param,units,class1,class2,x,value,units
Local Data,Colombia,APinchao_AgCensus,agProdByCrop,Agricultural Production (Mt),SugarCrop,class2,2015,24.77,
Local Data,Colombia,APinchao_AgCensus,agProdByCrop,Agricultural Production (Mt),Wheat,class2,2015,0.04,
Local Data,Colombia,Sources,landIrrRfd,Crop Land Allocation (1000 km^2),IRR,class2,2010,0,
Local Data,Colombia,Sources,landIrrRfd,Crop Land Allocation (1000 km^2),RFD,class2,2010,0,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),biomass,class2,2010,0,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),crops,class2,2010,45,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),forest,class2,2010,588.8,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),grass,class2,2010,145,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),otherarable,class2,2010,30,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),pasture,class2,2010,218,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),rock and desert,class2,2010,9,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),shrubs,class2,2010,65,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),tundra,class2,2010,0,
Local Data,Colombia,APinchao_AgCensus,aggLandAlloc,Land Allocation (1000 km^2),urban,class2,2010,4,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),buildings,class2,2005,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),electricity,class2,2005,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),industry,class2,2005,7.384,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),transportation,class2,2005,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),LUC Absorption,class2,2005,-77.697,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),LUC Emission,class2,2005,187.405,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),energy,class2,2005,56.873,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),waste,class2,2005,11.409,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),buildings,class2,2010,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),electricity,class2,2010,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),industry,class2,2010,7.217,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),transportation,class2,2010,0,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),LUC Absorption,class2,2010,-72.576,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),LUC Emission,class2,2010,198.922,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),energy,class2,2010,73.634,
Local Data,Colombia,RDelgado,co2emissionByEndUse,CO2 Emission by Enduse (MTCO2 Eq.),waste,class2,2010,13.124,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),C2F6,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),CH4,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),CO2,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),HFC134a,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),HFC143a,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),HFC32,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissionByGHG,GHG Emissions (MTCO2 Eq.),SF6,class2,2010,0,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),CO2,class2,2005,201.845,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),CH4,class2,2005,35,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),N2O,class2,2005,20,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),HFCs,class2,2005,1,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),Other,class2,2005,0,
Local Data,Colombia,Sources,ghgEmissByGHGGROUPS,GHG Emissions by Group (MTCO2 Eq.),SF6,class2,2005,5,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,1990,33.203,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2005,43.041,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2010,44.87933313,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2015,46.96247762,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2020,49.44582905,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2025,50.53823992,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2030,51.90813808,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2035,53.00854457,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2040,53.77319622,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2045,54.22136688,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2050,54.37743307,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2055,54.24304776,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2060,53.843017,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2065,53.18424318,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2070,52.29314256,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2075,51.18776844,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2080,49.89424459,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2085,48.45908612,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2090,46.94652036,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2095,45.42275219,
Local Data,Colombia,Rdelgado_DANE,pop,Population (Millions),class1,class2,2100,43.94409882,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,1990,0.01934,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2005,0.01212,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2010,0.03022,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2015,0.036,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2020,0.035,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2025,0.035,
Local Data,Colombia,Rdelgado_DANE,gdpGrowthRate,GDP Growth Rate (Percent),class1,class2,2030,0.034,
