"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"Final Energy by Sector (EJ)","energyFinalConsumBySecEJ","building","building","Year","sum","Sector","pal_metis","Subsector","pal_metis"
"Final Energy by Sector (EJ)","energyFinalConsumBySecEJ","industry","industry","Year","sum","Sector","pal_metis","Subsector","pal_metis"
"Final Energy by Sector (EJ)","energyFinalConsumBySecEJ","transport","transport","Year","sum","Sector","pal_metis","Subsector","pal_metis"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","biomass","buildings","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","biomass","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","coal","buildings","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","coal","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","buildings","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm cooking","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm lighting","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm non-building","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm office","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm refrigeration","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","comm ventilation","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid clothes dryers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid clothes washers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid computers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid cooking","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid dishwashers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid freezers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid furnace fans","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid lighting","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid refrigerators","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","electricity","resid televisions","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","buildings","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","comm cooking","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","comm hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","comm other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","resid clothes dryers","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","resid cooking","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","resid hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","resid other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","gas","transport","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","hydrogen","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","hydrogen","transport","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","buildings","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","comm hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","comm other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","industry","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","resid cooking","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","resid hot water","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","resid other","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids","transport","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids av","trans intl av","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Final Energy by Fuel (EJ)","energyFinalByFuelBySectorEJ","liquids shp","trans intl shp","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","f hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","g wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","h solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","i geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","e nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","a oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","b natural gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","c coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Primary Energy Consumption by Fuel (EJ)","energyPrimaryByFuelEJ","d bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (cooling pond) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (cooling pond) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (dry cooling) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (dry cooling) intermediate generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
"Electricity Generation by Fuel (TWh)","elecByTechTWh","biomass","biomass (conv) (recirculating) base load generation","Year","sum","Fuel","pal_metis","Technology","pal_metis"
