# File: basin_to_country_mapping.csv,,,
# Title: Mapping between basins, countries,,
# Units: NA,,,
# Comments: Basin assigned to the country which has the largest basin area.,,,
# Source: NA,,,
# Column types: iccccic ,,,
# ----------,,,
basin_id,basin.name.underscores,GLU_name,basin.name.spaces
1,Arctic_Ocean_Islands,ArcticIsl,Arctic Ocean Islands
2,Northwest_Territories,NWTerr,Northwest Territories
3,Siberia_North_Coast,SiberiaN,Siberia North Coast
4,Siberia_West_Coast,SiberiaW,Siberia West Coast
5,Kara_Sea_Coast,KaraSea,Kara Sea Coast
6,Lena,LenaR,Lena
7,Pacific_and_Arctic_Coast,PacArctic,Pacific and Arctic Coast
8,Scandinavia_North_Coast,ScndnvN,Scandinavia North Coast
9,Russia_Barents_Sea_Coast,BarentsSea,Russia Barents Sea Coast
10,Mackenzie,Mackenzie,Mackenzie
11,Iceland,Iceland,Iceland
12,Sweden,Sweden,Sweden
13,Finland,Finland,Finland
14,Northern_Dvina,DvinaRN,Northern Dvina
15,Hudson_Bay_Coast,HudsonBay,Hudson Bay Coast
16,Scotland,Scotland,Scotland
17,Neva,NevaR,Neva
18,Volga,VolgaR,Volga
19,Atlantic_Ocean_Seaboard,CanAtl,Atlantic Ocean Seaboard
20,Baltic_Sea_Coast,BalticSea,Baltic Sea Coast
21,Denmark_Germany_Coast,DnkGrmCst,Denmark - Germany Coast
22,Narva,NarvaR,Narva
23,Saskatchewan_Nelson,NelsonR,Saskatchewan - Nelson
24,Ireland,Ireland,Ireland
25,Daugava,DaugavaR,Daugava
26,England_and_Wales,EngWales,England and Wales
27,Fraser,FraserR,Fraser
28,Ems_Weser,EmsWeserR,Ems - Weser
29,Oder,OderR,Oder
30,Wisla,WislaR,Wisla
31,Elbe,ElbeR,Elbe
32,Rhine,RhineR,Rhine
33,Poland_Coast,PolandCst,Poland Coast
34,Churchill,ChurchillR,Churchill
35,Neman,NemanR,Neman
36,Scheldt,ScheldtR,Scheldt
37,Russia_South_East_Coast,RusCstSE,Russia South East Coast
38,Ural,UralR,Ural
39,Dnieper,DnieperR,Dnieper
40,St_Lawrence,StLwrncR,St Lawrence
41,France_West_Coast,FranceCstW,France West Coast
42,Gobi_Interior,Gobi,Gobi Interior
43,Amur,AmurR,Amur
44,Loire,LoireR,Loire
45,Caspian_Sea_Coast,CaspianNE,Caspian Sea Coast
46,Seine,SeineR,Seine
47,Black_Sea_North_Coast,BlackSeaN,Black Sea North Coast
48,Yenisei,YeniseiR,Yenisey
49,Dniester,DniesterR,Dniester
50,Italy_East_Coast,ItalyCstE,Italy East Coast
51,Japan,Japan,Japan
52,Caspian_Sea_East_Coast,CaspianE,Caspian Sea East Coast
53,Don,DonR,Don
54,Danube,DanubeR,Danube
55,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,Adriatic Sea - Greece - Black Sea Coast
56,Ob,ObR,Ob
57,Po,PoR,Po
58,Amu_Darya,AmuDaryaR,Amu Darya
59,Italy_West_Coast,ItalyCstW,Italy West Coast
60,Spain_Portugal_Atlantic_Coast,IberiaCst,Spain - Portugal Atlantic Coast
61,France_South_Coast,FranceCstS,France South Coast
62,Rhone,RhoneR,Rhone
63,Mediterranean_Sea_Islands,MeditIsl,Mediterranean Sea Islands
64,Gironde,Gironde,Gironde
65,North_and_South_Korea,Korea,North and South Korea
66,Bo_Hai_Korean_Bay_North_Coast,BoHai,Bo Hai - Korean Bay North Coast
67,Spain_South_and_East_Coast,SpainCstSE,Spain South and East Coast
68,Lake_Balkash,LBalkash,Lake Balkash
69,Tiber,TiberR,Tiber
70,Black_Sea_South_Coast,BlackSeaS,Black Sea South Coast
71,Tagus,TagusR,Tagus
72,Caspian_Sea_South_West_Coast,CaspianSW,Caspian Sea South West Coast
73,Ebro,EbroR,Ebro
74,Douro,DouroR,Douro
75,Mediterranean_Sea_East_Coast,MeditE,Mediterranean Sea East Coast
76,Syr_Darya,SyrDaryaR,Syr Darya
77,Ziya_He_Interior,ZiyaHe,Ziya He Interior
78,China_Coast,ChinaCst,China Coast
79,Huang_He,HuangHeR,Huang He
80,Mediterranean_South_Coast,MeditS,Mediterranean South Coast
81,Guadiana,GuadianaR,Guadiana
82,Central_Iran,Iran,Central Iran
83,Guadalquivir,GuadalqR,Guadalquivir
84,Tigris_Euphrates,TigrEuphR,Tigris - Euphrates
85,Tarim_Interior,Tarim,Tarim Interior
86,Africa_North_West_Coast,AfrCstNW,Africa North West Coast
87,Nile,NileR,Nile
88,Persian_Gulf_Coast,PersianGulf,Persian Gulf Coast
89,Indus,IndusR,Indus
90,Farahrud,FarahrudR,Farahrud
91,Baja_California,MexBaja,Baja California
92,Plateau_of_Tibet_Interior,Tibet,Plateau of Tibet Interior
93,Red_Sea_East_Coast,RedSeaE,Red Sea East Coast
94,Arabian_Peninsula,ArabianP,Arabian Peninsula
95,Dead_Sea,DeadSea,Dead Sea
96,Mexico_Northwest_Coast,MexCstNW,Mexico Northwest Coast
97,Helmand,Helmand,Helmand
98,Sinai_Peninsula,SinaiP,Sinai Peninsula
99,Eastern_Jordan_Syria,EJrdnSyr,Eastern Jordan - Syria
100,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,Africa Red Sea - Gulf of Aden Coast
101,Caribbean,Caribbean,Caribbean
102,HamuniMashkel,HamuMashR,Hamun-i-Mashkel
103,Taiwan,Taiwan,Taiwan
104,Arabian_Sea_Coast,ArabianSea,Arabian Sea Coast
105,North_Gulf,MexGulf,North Gulf
106,Yangtze,Yangtze,Yangtze
107,Sabarmati,SabarmatiR,Sabarmati
108,Xun_Jiang,XunJiang,Xun Jiang
109,Hong_(Red_River),Hong,Hong (Red River)
110,Ganges_Bramaputra,GangesR,Ganges - Bramaputra
111,Yucatan_Peninsula,YucatanP,Yucatan Peninsula
112,South_China_Sea_Coast,SChinaSea,South China Sea Coast
113,Mahi,MahiR,Mahi
114,Mexico_Interior,MexInt,Mexico Interior
115,Pacific_Central_Coast,MexCstW,Pacific Central Coast
116,Bay_of_Bengal_North_East_Coast,BengalBay,Bay of Bengal North East Coast
117,Tapti,TaptiR,Tapti
118,Yasai,BengalW,Yasai
119,Philippines,Phlppns,Philippines
120,Brahmani,BrahmaniR,Brahamani
121,North_Marina_Islands_and_Guam,Guam,North Marina Islands and Guam
122,Mahanadi,MahanadiR,Mahandi
123,Godavari,GodavariR,Godavari
124,Hainan,Hainan,Hainan
125,Mekong,Mekong,Mekong
126,Viet_Nam_Coast,VietnamCst,Viet Nam Coast
127,Salween,Salween,Salween
128,India_North_East_Coast,IndCstNE,India North East Coast
129,India_West_Coast,IndCstW,India West Coast
130,Papaloapan,Papaloapan,Papaloapan
131,Rio_Lerma,RioLerma,Rio Lerma
132,Rio_Verde,RioVerde,Rio Verde
133,Grijalva_Usumacinta,GrijUsuR,Grijalva - Usumacinta
134,Rio_Balsas,RioBalsas,Rio Balsas
135,Southern_Central_America,CntAmer,Southern Central America
136,Isthmus_of_Tehuantepec,Tehuantpc,Isthmus of Tehuantepec
137,Irrawaddy,IrrawaddyR,Irrawaddy
138,Sittaung,SittaungR,Sittang
139,Peninsula_Malaysia,MalaysiaP,Peninsula Malaysia
140,Krishna,KrishnaR,Krishna
141,Andaman_Nicobar_Islands,AdnNicIsl,Andaman - Nicobar Islands
142,Africa_West_Coast,AfrCstW,Africa West Coast
143,Caribbean_Coast,SAmerCstN,Caribbean Coast
144,Africa_North_Interior,AfrIntN,Africa North Interior
145,India_East_Coast,IndCstE,India East Coast
146,Chao_Phraya,ChaoPhrR,Chao Phraya
147,Pennar,PennarR,Pennar
148,Gulf_of_Thailand_Coast,ThaiGulf,Gulf of Thailand Coast
149,Niger,NigerR,Niger
150,Micronesia,Micronesia,Micronesia
151,Lake_Chad,LChad,Lake Chad
152,Senegal,SenegalR,Senegal
153,Cauvery,CauveryR,Cauvery
154,Sri_Lanka,SriLanka,Sri Lanka
155,India_South_Coast,IndCstS,India South Coast
156,Orinoco,OrinocoR,Orinoco
157,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,Colombia - Ecuador Pacific Coast
158,Palau_and_East_Indonesia,IdnE,Palau and East Indonesia
159,North_Borneo_Coast,BorneoCstN,North Borneo Coast
160,Volta,VoltaR,Volta
161,Northeast_South_America_South_Atlantic_Coast,SAmerCstNE,Northeast South America South Atlantic Coast
162,Gulf_of_Guinea,GuineaGulf,Gulf of Guinea
163,Sumatra,Sumatra,Sumatra
164,Sulawesi,Sulawesi,Sulawesi
165,Kalimantan,Kalimantan,Kalimantan
166,Magdalena,MagdalenaR,Magdalena
167,Irian_Jaya_Coast,IrianJaya,Irian Jaya Coast
168,Amazon,AmazonR,Amazon
169,South_Chile_Pacific_Coast,ChileCstS,South Chile Pacific Coast
170,Shebelli_Juba,ShebJubR,Shebelli - Juba
171,Africa_East_Central_Coast,AfrCstE,Africa East Central Coast
172,North_Brazil_South_Atlantic_Coast,BrzCstN,North Brazil South Atlantic Coast
173,Papua_New_Guinea_Coast,PapuaCst,Papua New Guinea Coast
174,Tocantins,TocantinsR,Tocantins
175,Java_Timor,JavaTimor,Java - Timor
176,Solomon_Islands,SolomonIsl,Solomon Islands
177,Madagascar,Madagascar,Madasgacar
178,Sepik,SepikR,Sepik
179,Rift_Valley,RiftValley,Rift Valley
180,Peru_Pacific_Coast,PeruCst,Peru Pacific Coast
181,Fly,FlyR,Fly
182,Angola_Coast,AngolaCst,Angola Coast
183,Congo,CongoR,Congo
184,Australia_North_Coast,AusCstN,Australia North Coast
185,South_Pacific_Islands,NewCaledn,South Pacific Islands
186,East_Brazil_South_Atlantic_Coast,BrzCstE,East Brazil South Atlantic Coast
187,Parnaiba,ParnaibaR,Parnaiba
188,Zambezi,ZambeziR,Zambezi
189,Australia_East_Coast,AusCstE,Australia East Coast
190,Africa_Indian_Ocean_Coast,AfrCstSE,Africa Indian Ocean Coast
191,Australia_West_Coast,AusCstW,Australia West Coast
192,Sao_Francisco,SaoFrancR,Sao Francisco
193,Australia_Interior,AusInt,Australia Interior
194,Orange,OrangeR,Orange
195,Uruguay_Brazil_South_Atlantic_Coast,BrzCstS,Uruguay - Brazil South Atlantic Coast
196,Namibia_Coast,AfrCstSW,Namibia Coast
197,Africa_South_Interior,AfrIntS,Africa South Interior
198,South_Africa_South_Coast,AfrCstS,South Africa South Coast
199,Limpopo,LimpopoR,Limpopo
200,La_Puna_Region,LaPuna,La Puna Region
201,New_Zealand,NewZealand,New Zealand
202,Australia_South_Coast,AusCstS,Australia South Coast
203,Mar_Chiquita,MarChiq,Mar Chiquita
204,South_Africa_West_Coast,AfrCstSSW,South Africa West Coast
205,Salinas_Grandes,Salinas,Salinas Grandes
206,La_Plata,RioLaPlata,La Plata
207,North_Chile_Pacific_Coast,ChileCstN,North Chile Pacific Coast
208,Murray_Darling,MurrayDrlg,Murray - Darling
209,Pampas_Region,Pampas,Pampas Region
210,North_Argentina_South_Atlantic_Coast,ArgCstN,North Argentina South Atlantic Coast
211,Tasmania,Tasmania,Tasmania
212,South_America_Colorado,ArgColoR,South America Colorado
213,Negro,NegroR,Negro
214,Central_Patagonia_Highlands,Patagonia,Central Patagonia Highlands
215,South_Argentina_South_Atlantic_Coast,ArgCstS,South Argentina South Atlantic Coast
216,Antarctica,Antarctica,Antarctica
217,California_River_Basin,California,California River Basin
218,Upper_Mississippi_Basin,MissppRN,Upper Mississippi Basin
219,Lower_Mississippi_River_Basin,MissppRS,Lower Mississippi River Basin
220,Upper_Colorado_River_Basin,UsaColoRN,Upper Colorado River Basin
221,Lower_Colorado_River_Basin,UsaColoRS,Lower Colorado River Basin
222,Great_Basin,GreatBasin,Great Basin
223,Missouri_River_Basin,MissouriR,Missouri River Basin
224,Arkansas_White_Red_Basin,ArkWhtRedR,Arkansas White Red Basin
225,Texas_Gulf_Coast_Basin,TexasCst,Texas Gulf Coast Basin
226,South_Atlantic_Gulf_Basin,UsaCstSE,South Atlantic Gulf Basin
227,Great_Lakes_Basin,GreatLakes,Great Lakes Basin
228,Ohio_River_Basin,OhioR,Ohio River Basin
229,Pacific_Northwest_Basin,UsaPacNW,Pacific Northwest Basin
230,Tennessee_River_Basin,TennR,Tennessee River Basin
231,Rio_Grande_River_Basin,RioGrande,Rio Grande River Basin
232,New_England_Basin,UsaCstNE,New England Basin
233,Mid_Atlantic_Basin,UsaCstE,Mid Atlantic Basin
234,Hawaii,Hawaii,Hawaii
235,Narmada,NarmadaR,Narmada
