"scenario","region","param","sources","x","xLabel","vintage","units","aggregate","origScen","origQuery","origUnits","origX","value"
"Eg1","Japan","aggLandAlloc","Sources",1975,"Year","Vint_1975","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",1975,358.98965970474
"Eg1","Japan","aggLandAlloc","Sources",1990,"Year","Vint_1990","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",1990,358.98956096976
"Eg1","Japan","aggLandAlloc","Sources",2005,"Year","Vint_2005","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2005,358.98974580172
"Eg1","Japan","aggLandAlloc","Sources",2010,"Year","Vint_2010","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2010,358.9898380737
"Eg1","Japan","aggLandAlloc","Sources",2015,"Year","Vint_2015","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2015,358.98992818604
"Eg1","Japan","aggLandAlloc","Sources",2020,"Year","Vint_2020","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2020,358.98985098978
"Eg1","Japan","aggLandAlloc","Sources",2025,"Year","Vint_2025","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2025,358.98994625743
"Eg1","Japan","aggLandAlloc","Sources",2030,"Year","Vint_2030","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2030,358.98987946717
"Eg1","Japan","aggLandAlloc","Sources",2035,"Year","Vint_2035","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2035,358.98990805046
"Eg1","Japan","aggLandAlloc","Sources",2040,"Year","Vint_2040","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2040,358.98999956623
"Eg1","Japan","aggLandAlloc","Sources",2045,"Year","Vint_2045","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2045,358.98987438713
"Eg1","Japan","aggLandAlloc","Sources",2050,"Year","Vint_2050","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2050,358.98991606058
"Eg1","Japan","aggLandAlloc","Sources",2055,"Year","Vint_2055","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2055,358.98994656409
"Eg1","Japan","aggLandAlloc","Sources",2060,"Year","Vint_2060","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2060,358.98995312237
"Eg1","Japan","aggLandAlloc","Sources",2065,"Year","Vint_2065","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2065,358.98984898238
"Eg1","Japan","aggLandAlloc","Sources",2070,"Year","Vint_2070","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2070,358.98984850582
"Eg1","Japan","aggLandAlloc","Sources",2075,"Year","Vint_2075","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2075,358.98984578781
"Eg1","Japan","aggLandAlloc","Sources",2080,"Year","Vint_2080","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2080,358.98988581866
"Eg1","Japan","aggLandAlloc","Sources",2085,"Year","Vint_2085","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2085,358.98994761871
"Eg1","Japan","aggLandAlloc","Sources",2090,"Year","Vint_2090","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2090,358.98985817285
"Eg1","Japan","aggLandAlloc","Sources",2095,"Year","Vint_2095","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2095,358.98991220655
"Eg1","Japan","aggLandAlloc","Sources",2100,"Year","Vint_2100","Land Allocation (1000 km^2)","sum","ExampleScen1","aggregated land allocation","thous km2",2100,358.98983759877
"Eg1","Japan","agProdBiomass",NA,2020,"Year","Vint_2020","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2020,6.73242299958339
"Eg1","Japan","agProdBiomass",NA,2025,"Year","Vint_2025","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2025,12.9175849758334
"Eg1","Japan","agProdBiomass",NA,2030,"Year","Vint_2030","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2030,21.3162862622224
"Eg1","Japan","agProdBiomass",NA,2035,"Year","Vint_2035","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2035,31.7159820133336
"Eg1","Japan","agProdBiomass",NA,2040,"Year","Vint_2040","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2040,37.5377203763892
"Eg1","Japan","agProdBiomass",NA,2045,"Year","Vint_2045","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2045,43.6034414019448
"Eg1","Japan","agProdBiomass",NA,2050,"Year","Vint_2050","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2050,49.5821224961115
"Eg1","Japan","agProdBiomass",NA,2055,"Year","Vint_2055","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2055,54.2303519733338
"Eg1","Japan","agProdBiomass",NA,2060,"Year","Vint_2060","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2060,60.0391243425005
"Eg1","Japan","agProdBiomass",NA,2065,"Year","Vint_2065","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2065,64.271754721945
"Eg1","Japan","agProdBiomass",NA,2070,"Year","Vint_2070","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2070,69.0529200516672
"Eg1","Japan","agProdBiomass",NA,2075,"Year","Vint_2075","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2075,74.0392628055561
"Eg1","Japan","agProdBiomass",NA,2080,"Year","Vint_2080","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2080,78.852636908334
"Eg1","Japan","agProdBiomass",NA,2085,"Year","Vint_2085","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2085,83.5359409388896
"Eg1","Japan","agProdBiomass",NA,2090,"Year","Vint_2090","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2090,87.5224079722229
"Eg1","Japan","agProdBiomass",NA,2095,"Year","Vint_2095","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2095,91.2421973194452
"Eg1","Japan","agProdBiomass",NA,2100,"Year","Vint_2100","Biomass Production (TWh)","sum","ExampleScen1","Ag Production by Crop Type","EJ",2100,96.1410835777785
"Eg1","Japan","agProdByCrop",NA,1975,"Year","Vint_1975","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",1975,80.883973524188
"Eg1","Japan","agProdByCrop",NA,1990,"Year","Vint_1990","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",1990,64.917896282175
"Eg1","Japan","agProdByCrop",NA,2005,"Year","Vint_2005","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2005,56.280597518496
"Eg1","Japan","agProdByCrop",NA,2010,"Year","Vint_2010","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2010,67.482473188386
"Eg1","Japan","agProdByCrop",NA,2015,"Year","Vint_2015","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2015,67.297021121084
"Eg1","Japan","agProdByCrop",NA,2020,"Year","Vint_2020","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2020,67.934182043325
"Eg1","Japan","agProdByCrop",NA,2025,"Year","Vint_2025","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2025,68.642982986353
"Eg1","Japan","agProdByCrop",NA,2030,"Year","Vint_2030","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2030,68.984735294936
"Eg1","Japan","agProdByCrop",NA,2035,"Year","Vint_2035","Agricultural Production (Mt)","sum","ExampleScen1","Ag Production by Crop Type","Mt",2035,68.438316634379
