"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Japan","finalNrgbySec","Sources","building","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1990,963.289055555563,3.4678406
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2005,1363.06866666668,4.9070472
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2010,1320.60766666668,4.7541876
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2015,1316.20099225001,4.7383235721
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2020,1326.17546022223,4.7742316568
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2025,1342.5398938889,4.833143618
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2030,1343.53893936112,4.8367401817
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2035,1327.12452708334,4.7776482975
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2040,1300.2117453889,4.6807622834
"Eg1","Japan","finalNrgbySec","Sources","building","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2045,1271.13218983334,4.5760758834
