"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",1990,"Year","Vint_1990","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",1990,0.448000000000004,0.0016128
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2005,"Year","Vint_2005","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2005,1.57500000000001,0.00567
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2010,"Year","Vint_2010","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2010,2.24000000000002,0.008064
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2015,"Year","Vint_2015","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2015,4.78588888888893,0.0172292
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2020,"Year","Vint_2020","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2020,5.16652777777782,0.0185995
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2025,"Year","Vint_2025","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2025,6.08226861111116,0.021896167
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2030,"Year","Vint_2030","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2030,7.10917777777783,0.02559304
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2035,"Year","Vint_2035","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2035,8.13895555555562,0.02930024
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2040,"Year","Vint_2040","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2040,9.10829444444452,0.03278986
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2045,"Year","Vint_2045","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2045,10.1143861111112,0.03641179
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2050,"Year","Vint_2050","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2050,11.0654861111112,0.03983575
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2055,"Year","Vint_2055","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2055,12.0968722222223,0.04354874
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2060,"Year","Vint_2060","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2060,15.8730833333335,0.0571431
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2065,"Year","Vint_2065","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2065,17.8175555555557,0.0641432
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2070,"Year","Vint_2070","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2070,20.3302500000002,0.0731889
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2075,"Year","Vint_2075","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2075,20.7021388888891,0.0745277
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2080,"Year","Vint_2080","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2080,23.3643055555557,0.0841115
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2085,"Year","Vint_2085","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2085,25.6023888888891,0.0921686
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2090,"Year","Vint_2090","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2090,28.6756666666669,0.1032324
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2095,"Year","Vint_2095","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2095,30.9659444444447,0.1114774
"Eg1","Argentina","elecByTech","Sources","a Coal","class2",2100,"Year","Vint_2100","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2100,33.7044166666669,0.1213359
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",1990,"Year","Vint_1990","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",1990,19.8729722222224,0.0715427
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2005,"Year","Vint_2005","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2005,55.3320277777782,0.1991953
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2010,"Year","Vint_2010","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2010,62.3859166666672,0.2245893
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2015,"Year","Vint_2015","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2015,124.558055555557,0.448409
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2020,"Year","Vint_2020","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2020,133.956944444445,0.482245
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2025,"Year","Vint_2025","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2025,157.677777777779,0.56764
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2030,"Year","Vint_2030","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2030,182.662500000001,0.657585
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2035,"Year","Vint_2035","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2035,205.600277777779,0.740161
"Eg1","Argentina","elecByTech","Sources","c Gas","class2",2040,"Year","Vint_2040","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2040,224.527861111113,0.8083003
