"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Japan","elecByTech","Sources","a Coal","class2",1990,"Year","Vint_1990","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",1990,116.705833333334,0.420141
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2005,"Year","Vint_2005","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2005,303.55277777778,1.09279
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2010,"Year","Vint_2010","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2010,304.494444444447,1.09618
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2015,"Year","Vint_2015","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2015,375.472222222225,1.3517
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2020,"Year","Vint_2020","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2020,382.744444444447,1.37788
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2025,"Year","Vint_2025","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2025,383.937227777781,1.38217402
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2030,"Year","Vint_2030","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2030,384.878138888892,1.3855613
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2035,"Year","Vint_2035","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2035,380.961833333336,1.3714626
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2040,"Year","Vint_2040","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2040,380.723083333336,1.3706031
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2045,"Year","Vint_2045","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2045,378.820805555559,1.3637549
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2050,"Year","Vint_2050","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2050,375.110833333336,1.350399
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2055,"Year","Vint_2055","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2055,371.262777777781,1.336546
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2060,"Year","Vint_2060","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2060,407.020555555559,1.465274
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2065,"Year","Vint_2065","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2065,413.615277777781,1.489015
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2070,"Year","Vint_2070","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2070,417.710833333337,1.503759
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2075,"Year","Vint_2075","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2075,361.259722222225,1.300535
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2080,"Year","Vint_2080","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2080,358.695277777781,1.291303
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2085,"Year","Vint_2085","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2085,358.855833333336,1.291881
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2090,"Year","Vint_2090","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2090,354.747500000003,1.277091
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2095,"Year","Vint_2095","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2095,346.168333333336,1.246206
"Eg1","Japan","elecByTech","Sources","a Coal","class2",2100,"Year","Vint_2100","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2100,330.800555555558,1.190882
"Eg1","Japan","elecByTech","Sources","c Gas","class2",1990,"Year","Vint_1990","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",1990,167.083666666668,0.6015012
"Eg1","Japan","elecByTech","Sources","c Gas","class2",2005,"Year","Vint_2005","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2005,239.038611111113,0.860539
"Eg1","Japan","elecByTech","Sources","c Gas","class2",2010,"Year","Vint_2010","Electricity Generation (TWh)","sum","Fuel","pal_nrg","classLabel2","classPalette2","ExampleScen1","Electricity generation by aggregate technology","EJ",2010,304.514444444447,1.096252
