"X1990","X1995","X2000","X2005","X2010","X2015"
699.3985,742.3817,786.2743,829.1664,866.3934,894.5769
179.8335,149.0641,120.427,95.15795,74.9107,58.6292
188.0746,155.8953,125.9458,99.51875,78.34357,61.31602
215.0625,178.2655,144.0186,113.7992,89.58562,70.1146
242.7978,201.2552,162.5914,128.4751,101.1389,79.15681
237.8786,197.178,159.2979,125.8724,99.08987,77.55314
234.3188,194.1691,156.8655,124.0032,97.56154,76.37631
230.0264,190.5869,153.971,121.7379,95.75453,74.97017
189.9214,157.3485,127.1183,100.5156,79.05219,61.8965
20.79371,17.22743,13.91764,11.00503,8.655087,6.776784
200.1547,165.8267,133.9676,105.9316,83.31154,65.23157
147.1222,121.9497,98.52172,77.84896,61.28464,47.96473
243.2194,201.6046,162.8736,128.6982,101.3144,79.29423
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
233.5777,193.6026,156.409,123.5989,97.29033,76.14809
229.4862,190.1786,153.6419,121.4422,95.56021,74.805
157.0039,130.0767,105.086,83.09398,65.35068,51.16846
41.27519,34.19617,27.6263,21.84481,17.18021,13.45181
200.2785,165.9292,134.0504,105.9971,83.36304,65.2719
25.70148,21.29347,17.2025,13.60246,10.69787,8.376248
178.1907,189.1121,200.3448,211.1943,220.6786,227.8637
1041.139,1104.951,1170.581,1233.974,1289.389,1331.37
63.22609,52.40816,42.33989,33.45575,26.3372,20.61294
151.6855,125.7322,101.5775,80.26357,63.18551,49.45243
243.2194,201.6046,162.8736,128.6982,101.3144,79.29423
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
233.3163,193.3954,156.2418,123.4582,97.1889,76.06553
230.1019,190.6663,154.0355,121.7737,95.79905,74.99945
68.33858,56.61798,45.74034,36.16808,28.44495,22.27191
18.9926,15.73522,12.71212,10.0518,7.905397,6.189791
200.2785,165.9292,134.0504,105.9971,83.36304,65.2719
4425.375,4536.624,4649.844,4766.999,4887.109,5011.158
21.93703,18.18362,14.69032,11.60786,9.137997,7.1519
238.9701,198.0824,160.0283,126.4498,99.54432,77.90894
238.0001,197.2784,159.3789,125.9365,99.14038,77.59267
243.2194,201.6046,162.8736,128.6982,101.3144,79.29423
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
233.9314,193.8828,156.6351,123.7893,97.42753,76.2598
214.0821,177.3651,143.2891,113.3024,89.10858,69.7705
2.783329,2.305966,1.862936,1.473071,1.158521,0.9071019
189.5103,157.0078,126.843,100.298,78.88095,61.76246
0,0,0,0,0,0
665.5158,172.9946,43.8411,47.39578,50.55549,53.71521
26.21838,21.73244,17.55737,13.87332,10.92142,8.547708
253.0627,209.7636,169.4654,133.9068,105.4146,82.50343
248.1504,205.692,166.1762,131.3075,103.3686,80.90191
243.2194,201.6046,162.8736,128.6982,101.3144,79.29423
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
233.8738,193.8372,156.5983,123.7583,97.40518,76.24159
134.4129,111.3812,89.9827,71.13244,55.96396,43.81179
99.58486,82.50521,66.6541,52.70507,41.45075,32.45524
0,0,0,0,0,0
563.5569,146.4913,37.12453,40.13462,42.81025,45.4859
8.060623,6.681457,5.397867,4.265235,3.3577,2.627921
235.0402,194.8248,157.3965,124.3703,97.90727,76.62772
278.0217,230.4566,186.1721,147.1173,115.8048,90.63794
243.2194,201.6046,162.8736,128.6982,101.3144,79.29423
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
233.3014,193.3836,156.2323,123.4502,97.18314,76.06084
93.06538,77.14204,62.3221,49.24506,38.76698,30.34116
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
285.6212,236.7612,191.2511,151.1432,118.9615,93.1121
418.899,347.2499,280.4753,221.6788,174.4556,136.5542
272.6518,226.0054,182.5758,144.2757,113.5679,88.88721
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
210.4674,174.4565,140.9412,111.3676,87.67153,68.61649
0,0,0,0,0,0
9188.004,9459,9738.003,10025,10322,10628
24.93966,20.67409,16.69819,13.19803,10.38621,8.12984
453.0124,375.5307,303.3117,239.7335,188.6588,147.673
447.8702,371.2684,299.8687,237.0125,186.5171,145.997
343.5884,284.8151,230.0609,181.82,143.1006,112.0077
238.2691,197.5017,159.5594,126.079,99.25254,77.68046
143.1761,118.6787,95.87908,75.76083,59.6408,46.67822
41.23707,34.18406,27.61003,21.8226,17.17333,13.44248
327.1423,271.1895,219.0362,173.1232,136.2397,106.642
452.9701,375.4959,303.2848,239.7111,188.6414,147.6599
426.1283,353.2474,285.32,225.5069,177.464,138.9133
368.6907,305.6258,246.8644,195.1058,153.5513,120.1893
237.9382,197.2274,159.3378,125.9039,99.11469,77.57256
94.39794,78.24656,63.21445,49.95018,39.32203,30.77559
64172.25,65653.2,67203.36,68822.75,70519.26,72298.86
187.1679,155.1555,125.3171,99.04895,77.94677,61.01307
465.5664,385.9385,311.7173,246.3773,193.8868,151.7657
342.6976,284.0951,229.495,181.356,142.7249,111.7323
295.7007,245.1402,198.0433,156.4858,123.1554,96.41882
321.6039,266.6005,215.3607,170.1895,133.9438,104.8504
205.0615,169.9758,137.3214,108.5073,85.41959,66.85403
0,0,0,0,0,0
150.9,187.4318,229.004,246.4001,262.1904,278.4713
203.1559,168.409,136.0217,107.5098,84.605,66.22482
465.5664,385.9385,311.7173,246.3773,193.8868,151.7657
338.2948,280.4457,226.5488,179.0262,140.8916,110.2978
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
128.1023,106.1962,85.798,67.79032,53.35601,41.77089
69.40623,57.53239,46.48012,36.72663,28.91084,22.62866
2908.5,2784.115,2666.491,2554.951,2449.495,2349.784
6087.015,6216.501,6351.513,6492.843,6640.882,6795.633
393.9676,489.3443,597.8805,643.2979,684.5229,727.0289
1.928447,1.598614,1.29118,1.020531,0.8031086,0.6286358
366.1355,303.5133,245.1436,193.7583,152.4785,119.3529
465.5664,385.9385,311.7173,246.3773,193.8868,151.7657
419.1162,347.4359,280.6313,221.796,174.545,136.6301
230.1446,190.7949,154.1451,121.7934,95.8533,75.04631
26.47835,21.9513,17.73513,14.01246,11.02811,8.634414
26.39639,21.88335,17.68023,13.96908,10.99398,8.607686
7232.462,7386.314,7546.733,7714.657,7890.556,8074.427
0,0,0,0,0,0
2221.001,2054,1900.002,1759.001,1629.001,1509
155.1684,192.7336,235.4817,253.3699,269.6068,286.3483
125.9098,104.3748,84.30218,66.6313,52.4356,41.04412
474.3626,393.2294,317.6063,251.0319,197.5499,154.6328
392.231,325.1529,262.6442,207.5687,163.3506,127.8722
311.1049,257.9091,208.3546,164.6376,129.57,101.4392
223.1333,184.9835,149.454,118.0831,92.93393,72.76225
245.4692,203.5007,164.4146,129.9034,102.2368,80.04587
46.00068,38.13586,30.81113,24.34376,19.15907,15.00052
90.16315,111.991,136.8305,147.2247,156.6595,166.3873
174.5686,144.7112,116.8814,92.38146,72.69974,56.90597
450.1751,373.1789,301.4118,238.2319,187.477,146.7482
371.533,307.997,248.7938,196.6155,154.7322,121.1287
275.545,228.4348,184.5594,145.8197,114.7633,89.85355
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
233.8288,193.8506,156.618,123.7433,97.38864,76.25002
12879.01,12737.01,12749.96,12971.58,13505.09,14383.63
233.6278,227.7132,222.1682,216.6233,211.0783,205.903
0,0,0,0,0,0
113.9511,94.46141,76.29527,60.30277,47.45536,37.14582
311.6622,258.3567,208.6714,164.9311,129.7928,101.5957
407.064,337.4464,272.5647,215.4181,169.5262,132.7028
262.1603,217.3385,175.5944,138.7365,109.1887,85.48888
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
218.5979,181.2239,146.4163,115.6831,91.04504,71.28334
25417.19,25136.94,25162.46,25599.85,26652.69,28386.59
398.3722,388.2868,378.8316,369.3768,359.9217,351.097
0,0,0,0,0,0
253.5855,210.2139,169.7888,134.1971,105.607,82.66489
230.0669,190.732,154.0983,121.7525,95.82184,75.02338
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
243.8901,202.1917,163.357,129.0678,101.5791,79.53096
8979.48,8880.457,8889.413,9043.935,9415.767,10028.44
103428.1,102287.5,102390.6,104169.9,108452.9,115510.2
392,381,371,361,351,342
44.00001,82.00001,59.00001,67,76.00001,84
21.25548,23.13253,24.76282,26.64427,28.34945,30.11194
29.29554,31.88257,34.12954,36.72267,39.07285,41.50201
269.6966,223.5861,180.6421,142.7247,112.3274,87.94643
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
219.4231,181.908,146.969,116.1198,91.38871,71.55241
513,498.9999,485,470.9999,457.9999,444.9999
28.47366,30.98814,33.17207,35.69244,37.97669,40.3377
25.67058,27.9375,29.90644,32.1787,34.23807,36.36664
236.5208,196.0826,158.4211,125.1679,98.50992,77.12798
270.1966,224.0005,180.977,142.9892,112.5357,88.10929
81.47482,67.54492,54.57157,43.1168,33.93388,26.56838
45452,55190,65966.01,77627.02,89951,102652
20.6208,22.44179,24.02341,25.84868,27.50295,29.2128
28.84363,31.39076,33.60307,36.15619,38.47013,40.8618
202.728,168.0672,135.7867,107.2846,84.43532,66.10833
237.5356,196.9234,159.1006,125.7048,98.93237,77.45869
0,0,0,0,0,0
58.0507,63.17711,67.62958,72.768,77.42499,82.23856
32.00991,34.83664,37.2918,40.12521,42.69314,45.34736
21.99518,18.23464,14.73232,11.63995,9.160895,7.172484
141.8767,117.6197,95.02853,75.08168,59.09093,46.265
1865.243,1725.853,1612.246,1522.812,1449.491,1394.702
449.7575,416.1471,388.7537,367.1886,349.5092,336.2982
0,0,0,0,0,0
0,0,0,0,0,0
86.57044,94.21528,100.8553,108.5181,115.4631,122.6414
45.49997,37.72078,30.47576,24.07879,18.95053,14.83724
0,0,0,0,0,0
44.15788,48.05739,51.4443,55.35296,58.89548,62.55699
258.1889,320.6946,391.8244,421.589,448.6061,476.4626
19.67967,21.41755,22.92698,24.66895,26.24771,27.87953
0,0,0,0,0,0
465.1488,577.7584,705.9044,759.5281,808.2013,858.387
4.878491,5.309304,5.683483,6.115308,6.506675,6.911196
239.115,297.0031,362.8781,390.4438,415.4649,441.2636
3.615276,3.934536,4.211826,4.531837,4.821865,5.121641
41.12289,44.75435,47.90852,51.54854,54.84754,58.25744
179.011,222.3484,271.665,292.3018,311.0337,330.3475
157.0417,195.0604,238.3246,256.4288,272.8618,289.8053
0.7667738,0.8400025,0.9051391,0.9738163,1.036222,1.100651
58.82936,64.4477,69.4452,74.71432,79.50227,84.44545
22.52209,24.51098,26.23842,28.232,30.03878,31.9063
78.39624,85.31937,91.33221,98.27161,104.5608,111.0614
