"scenario","param","units","class","value","x","subRegion","subRegType","region","classPalette"
"Eg1","demeterLandUse","Landuse (Fraction)","crops",0.06,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","forest",0.85,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","grass",0.07,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","shrub",0.02,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","snow",0,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","sparse",0,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","urban",0.01,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","water",0,"2005","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","crops",0.06,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","forest",0.85,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","grass",0.07,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","shrub",0.02,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","snow",0,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","sparse",0,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","urban",0.01,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","water",0,"2010","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","crops",0.06,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","forest",0.85,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","grass",0.07,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","shrub",0.02,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","snow",0,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","sparse",0,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","urban",0.01,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","water",0,"2015","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","crops",0.06,"2020","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","forest",0.85,"2020","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","grass",0.07,"2020","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","shrub",0.02,"2020","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","snow",0,"2020","Bermejo 1","subBasin","Argentina","pal_green"
"Eg1","demeterLandUse","Landuse (Fraction)","sparse",0,"2020","Bermejo 1","subBasin","Argentina","pal_green"
