scenario,region,units,subRegion,x,value,subRegType,class,param
SSP2_GFDL_PDSSAT,China,km3,Bo_Hai_Korean_Bay_North_Coast,2010,9.2661156,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,China_Coast,2010,19.15054717,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Ganges_Bramaputra,2010,0.152144114,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Gobi_Interior,2010,6.5683026,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Hainan,2010,0.370418653,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Hong_(Red_River),2010,0.623844804,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Huang_He,2010,18.47670287,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Indus,2010,0.000143,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Irrawaddy,2010,0.250802019,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Lake_Balkash,2010,1.163494105,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Mekong,2010,0.676215453,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Ob,2010,0.245315509,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Russia_South_East_Coast,2010,0.156544667,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,South_China_Sea_Coast,2010,0.871264002,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Salween,2010,0.261500503,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Tarim_Interior,2010,7.678782195,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Plateau_of_Tibet_Interior,2010,0.000437,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Xun_Jiang,2010,3.062839909,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Yangtze,2010,32.0859204,GCAMBasin,Water,waterConsumption
SSP2_GFDL_PDSSAT,China,km3,Ziya_He_Interior,2010,27.0846962,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Amur,2010,7.83282902,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Bo_Hai_Korean_Bay_North_Coast,2010,9.2661156,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,China_Coast,2010,19.15054717,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ganges_Bramaputra,2010,0.152144114,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Gobi_Interior,2010,6.5683026,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Hainan,2010,0.370418653,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Hong_(Red_River),2010,0.623844804,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Huang_He,2010,18.47670287,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Indus,2010,0.000143,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Irrawaddy,2010,0.250802019,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Lake_Balkash,2010,1.163494105,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Mekong,2010,0.676215453,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ob,2010,0.245315509,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Russia_South_East_Coast,2010,0.156544667,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,South_China_Sea_Coast,2010,0.871264002,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Salween,2010,0.261500503,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Tarim_Interior,2010,7.678782195,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Plateau_of_Tibet_Interior,2010,0.000437,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Xun_Jiang,2010,3.062839909,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Yangtze,2010,32.0859204,GCAMBasin,Water,waterConsumption
SSP2_IPSL_PDSSAT,China,km3,Ziya_He_Interior,2010,27.0846962,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Amur,2010,7.83282902,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Bo_Hai_Korean_Bay_North_Coast,2010,9.2661156,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,China_Coast,2010,19.15054717,GCAMBasin,Water,waterConsumption
SSP2_Ref,China,km3,Ganges_Bramaputra,2010,0.152144114,GCAMBasin,Water,waterConsumption
