scenario,param,units,class,value,x,subRegion,subRegType,region,classPalette
Eg1,demeterLandUse,Landuse (Fraction),crops,0.07,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.56,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.12,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.23,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0.01,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0.01,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2005,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.07,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.56,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.12,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.23,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0.01,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0.01,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2010,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.07,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.56,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.12,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.23,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0.01,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0.01,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2015,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.07,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.56,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.12,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.23,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0.01,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0.01,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2020,San Francisco,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.04,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.61,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.18,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.17,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.04,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.61,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.18,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.17,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.04,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.61,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.18,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.17,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),crops,0.04,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),forest,0.61,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),grass,0.18,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),shrub,0.17,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),snow,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),sparse,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),urban,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg1,demeterLandUse,Landuse (Fraction),water,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.059815789,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.497225981,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.023592992,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.015681541,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.001574135,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2005,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.011908325,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.418365312,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.033968782,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.002985932,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.004375239,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2010,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.052276121,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.027182096,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.002902649,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.012506034,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.006513194,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2015,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.008887709,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.624891828,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.068929705,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.015671267,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.000190953,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2020,Bermejo 1,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.048416516,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.524086946,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.110427944,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.199419672,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0.000772335,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.008029736,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2005,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.046013005,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.151859025,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.042949224,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.092465253,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0.019661617,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.018680304,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2010,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.132115876,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.853237646,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.149380902,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.328300896,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0.014201038,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.010406426,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2015,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.100907299,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.865841237,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.182010986,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.307150049,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0.012820691,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0.010650937,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2020,San Francisco,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.073032125,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.700005077,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.326346484,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.260725793,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2005,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.067433249,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.856950912,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.242356776,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.274052571,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2010,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.053849647,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.904566401,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.259264636,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.289136758,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2015,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),crops,0.04372023,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),forest,0.915326596,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),grass,0.321454724,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),shrub,0.176048207,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),snow,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),sparse,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),urban,0,2020,Bermejo 2,subBasin,Argentina,pal_green
Eg2,demeterLandUse,Landuse (Fraction),water,0,2020,Bermejo 2,subBasin,Argentina,pal_green
