scenario,param,units,class,x,value,subRegion,subRegType,region,classPalette
popGWP,population,millions,class,1990,0.199632854,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.226204969,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.25559002,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.286636629,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.318705112,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.351556344,Tacna,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.072837094,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.086969574,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.103772186,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.123011104,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.144611962,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.168643431,Madre de Dios,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.715513999,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.833085392,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.96832877,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,1.11692159,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,1.276582458,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,1.446048191,Loreto,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.415771514,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.46227797,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.513494317,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.566471345,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.619698854,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.672446759,Amazonas,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,1.237390166,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,1.36244486,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,1.497798888,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,1.634061175,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,1.766357913,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,1.892229085,Cajamarca,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.095816878,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.110061675,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.126130522,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.14348943,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.161858372,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.181091734,Tumbes,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,1.186501653,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,1.293010572,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,1.406503735,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,1.518068821,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,1.623273064,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,1.720056576,Piura,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.269821602,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.322675859,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.385469727,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.457245661,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.537681023,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.62685735,Ucayali,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.980788803,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,1.092161055,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,1.213799018,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,1.338597686,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,1.462508267,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,1.583638898,Puno,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.100033138,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.108539342,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,2000,0.117592355,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,2005,0.126449863,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,2010,0.134739954,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,2015,0.142309402,Moquegua,subRegType,Peru,pal_hot
popGWP,population,millions,class,1990,0.929342334,Arequipa,subRegType,Peru,pal_hot
popGWP,population,millions,class,1995,0.998524169,Arequipa,subRegType,Peru,pal_hot
