scenario,region,class,subRegion,units,x,value,subRegType,classPalette
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2010,1.208384427,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2015,1.249469485,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2020,1.29095769,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2025,1.332458864,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2030,1.373952112,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2035,1.402194344,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2040,1.43029088,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2045,1.458112919,subBasin,pal_green
SSP2_Ref,China,Corn,,Agricultural Productivity (Mt/thous km2),2050,1.486325583,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2010,0.720601356,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2015,0.739558706,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2020,0.758878288,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2025,0.778182858,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2030,0.797629469,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2035,0.810935578,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2040,0.824235949,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2045,0.83732703,subBasin,pal_green
SSP2_Ref,China,Corn,Amur,Agricultural Productivity (Mt/thous km2),2050,0.850590408,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2010,0.735087561,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2015,0.752065229,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2020,0.76943672,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2025,0.786761613,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2030,0.804269845,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2035,0.816277411,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2040,0.828312849,subBasin,pal_green
SSP2_Ref,China,Corn,Bo_Hai_Korean_Bay_North_Coast,Agricultural Productivity (Mt/thous km2),2045,0.840100264,subBasin,pal_green
