scenario,region,sector,class,units,x,value,subRegion,subRegType,classPalette
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.0458529,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.043535,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.0428638,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.0411988,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.0390146,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.0393715,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.0373814,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.0358889,Bay_of_Bengal_North_East_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.0414196,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.0418675,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.0448674,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.0463461,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.0482015,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.0502607,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.0516942,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.0525115,North_Borneo_Coast,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,3.9286107,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,3.8467053,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,4.0856402,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,4.1303556,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,4.4426983,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,4.5107742,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,4.4634999,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,4.4992392,Chao_Phraya,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.001228,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.001153,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.001169,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.001112,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.001221,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.001217,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.001242,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.001267,Ganges_Bramaputra,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.937089,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.877364,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.9032,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.877558,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.917003,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.945101,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.955959,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.958504,Hong_(Red_River),subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.3687025,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.3580679,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.3533918,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.3392688,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.3242332,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.3288057,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.3217431,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.3048105,Irrawaddy,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.00141,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.001436,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.001553,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.001613,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.00171,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.00181119,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.00188191,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.00191925,Kalimantan,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2015,0.28850046,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2020,0.29382435,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2025,0.31787475,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2030,0.32609019,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2035,0.33768542,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2040,0.34701921,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2045,0.34974931,Peninsula_Malaysia,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Corn,Agricultural Production (Mt),2050,0.35091999,Peninsula_Malaysia,subBasin,pal_green
