scenario,region,sector,class,units,x,subRegion,subRegType,classPalette,value
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Amazon,subBasin,pal_green,1.016972
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,East_Brazil_South_Atlantic_Coast,subBasin,pal_green,0.514469
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,La_Plata,subBasin,pal_green,18.9084895
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,North_Brazil_South_Atlantic_Coast,subBasin,pal_green,0.1503841
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Northeast_South_America_South_Atlantic_Coast,subBasin,pal_green,0.000345
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Parnaiba,subBasin,pal_green,0.268733
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Sao_Francisco,subBasin,pal_green,1.4548083
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Tocantins,subBasin,pal_green,0.81324861
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),1990,Uruguay_Brazil_South_Atlantic_Coast,subBasin,pal_green,2.23611151
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Amazon,subBasin,pal_green,1.764233
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,East_Brazil_South_Atlantic_Coast,subBasin,pal_green,0.8924939
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,La_Plata,subBasin,pal_green,32.802216
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,North_Brazil_South_Atlantic_Coast,subBasin,pal_green,0.2608851
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Northeast_South_America_South_Atlantic_Coast,subBasin,pal_green,0.000598
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Parnaiba,subBasin,pal_green,0.466195
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Sao_Francisco,subBasin,pal_green,2.5237952
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Tocantins,subBasin,pal_green,1.41081642
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2005,Uruguay_Brazil_South_Atlantic_Coast,subBasin,pal_green,3.8791845
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2010,Amazon,subBasin,pal_green,2.212061
SSP2_ipsl_epic,Brazil,Corn,Corn,Agricultural Production (Mt),2010,East_Brazil_South_Atlantic_Coast,subBasin,pal_green,1.1190448
