scenario,region,sector,subRegion,class,units,x,value,subRegType,classPalette
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2015,0.0458529,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2020,0.043535,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2025,0.0428638,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2030,0.0411988,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2035,0.0390146,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2040,0.0393715,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2045,0.0373814,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BengalBay,Corn,Agricultural Production (Mt),2050,0.0358889,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2015,0.3963221,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2020,0.3955261,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2025,0.4105089,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2030,0.4282293,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2035,0.4335324,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2040,0.4510695,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2045,0.4589783,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BoHai,Corn,Agricultural Production (Mt),2050,0.474762,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2015,0.0414196,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2020,0.0418675,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2025,0.0448674,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2030,0.0463461,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2035,0.0482015,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2040,0.0502607,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2045,0.0516942,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,BorneoCstN,Corn,Agricultural Production (Mt),2050,0.0525115,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2015,3.9286107,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2020,3.8467053,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2025,4.0856402,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2030,4.1303556,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2035,4.4426983,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2040,4.5107742,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2045,4.4634999,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,ChaoPhrR,Corn,Agricultural Production (Mt),2050,4.4992392,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2015,0.0567044,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2020,0.0558595,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2025,0.0596226,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2030,0.059822,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2035,0.0643069,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2040,0.0673533,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2045,0.0701079,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,FlyR,Corn,Agricultural Production (Mt),2050,0.07145,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2015,0.001228,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2020,0.001153,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2025,0.001169,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2030,0.001112,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2035,0.001221,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2040,0.001217,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2045,0.001242,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,GangesR,Corn,Agricultural Production (Mt),2050,0.001267,subBasin,pal_green
SSP2_ipsl_epic,Southeast Asia,Corn,Hong,Corn,Agricultural Production (Mt),2015,0.937089,subBasin,pal_green
