,~gcamMapBasins,",",~gcamBasins,",",~basins2Change,","
"""",Adriatic_Sea_Greece_Black_Sea_Coast,""",""",Adriatic_Sea-Greece-Black_Sea_Coast,""",""",Adriatic_Sea-Greece-Black_Sea_Coast,""","
"""",Africa_East_Central_Coast,""",""",Africa-East_Central_Coast,""",""",Africa-East_Central_Coast,""","
"""",Africa_Indian_Ocean_Coast,""",""",Africa-Indian_Ocean_Coast,""",""",Africa-Indian_Ocean_Coast,""","
"""",Africa_North_Interior,""",""",Africa-North_Interior,""",""",Africa-North_Interior,""","
"""",Africa_North_West_Coast,""",""",Africa-North_West_Coast,""",""",Africa-North_West_Coast,""","
"""",Africa_Red_Sea_Gulf_of_Aden_Coast,""",""",Africa-Red_Sea-Gulf_of_Aden_Coast,""",""",Africa-Red_Sea-Gulf_of_Aden_Coast,""","
"""",Africa_South_Interior,""",""",Africa-South_Interior,""",""",Africa-South_Interior,""","
"""",Africa_West_Coast,""",""",Africa-West_Coast,""",""",Africa-West_Coast,""","
"""",Amazon,""",""",Amazon,""",""",NA,""","
"""",Amu_Darya,""",""",Amu_Darya,""",""",NA,""","
"""",Amur,""",""",Amur,""",""",NA,""","
"""",Andaman_Nicobar_Islands,""",""",Andaman-Nicobar_Islands,""",""",Andaman-Nicobar_Islands,""","
"""",Angola_Coast,""",""",Angola-Coast,""",""",Angola-Coast,""","
"""",Antarctica,""",""",NA,""",""",NA,""","
"""",Arabian_Peninsula,""",""",Arabian_Peninsula,""",""",NA,""","
"""",Arabian_Sea_Coast,""",""",Arabian_Sea_Coast,""",""",NA,""","
"""",Arctic_Ocean_Islands,""",""",Arctic_Ocean_Islands,""",""",NA,""","
"""",Arkansas_White_Red_Basin,""",""",Arkansas_White_Red,""",""",Arkansas_White_Red,""","
"""",Atlantic_Ocean_Seaboard,""",""",Atlantic_Ocean_Seaboard,""",""",NA,""","
"""",Australia_East_Coast,""",""",Australia-East_Coast,""",""",Australia-East_Coast,""","
"""",Australia_Interior,""",""",Australia-Interior,""",""",Australia-Interior,""","
"""",Australia_North_Coast,""",""",Australia-North_Coast,""",""",Australia-North_Coast,""","
"""",Australia_South_Coast,""",""",Australia-South_Coast,""",""",Australia-South_Coast,""","
"""",Australia_West_Coast,""",""",Australia-West_Coast,""",""",Australia-West_Coast,""","
"""",Baja_California,""",""",Baja_California,""",""",NA,""","
"""",Baltic_Sea_Coast,""",""",Baltic_Sea_Coast,""",""",NA,""","
"""",Bay_of_Bengal_North_East_Coast,""",""",Bay_of_Bengal-North_East_Coast,""",""",Bay_of_Bengal-North_East_Coast,""","
"""",Black_Sea_North_Coast,""",""",Black_Sea-North_Coast,""",""",Black_Sea-North_Coast,""","
"""",Black_Sea_South_Coast,""",""",Black_Sea-South_Coast,""",""",Black_Sea-South_Coast,""","
"""",Bo_Hai_Korean_Bay_North_Coast,""",""",Bo_Hai-Korean_Bay-North_Coast,""",""",Bo_Hai-Korean_Bay-North_Coast,""","
"""",Brahamani,""",""",Brahamani,""",""",NA,""","
"""",California_River_Basin,""",""",California_River,""",""",California_River,""","
"""",Caribbean,""",""",Caribbean,""",""",NA,""","
"""",Caribbean_Coast,""",""",Caribbean_Coast,""",""",NA,""","
"""",Caspian_Sea_Coast,""",""",Caspian_Sea_Coast,""",""",Caspian_Sea-East_Coast,""","
"""",Caspian_Sea_East_Coast,""",""",Caspian_Sea-East_Coast,""",""",NA,""","
"""",Caspian_Sea_South_West_Coast,""",""",Caspian_Sea-South_West_Coast,""",""",Caspian_Sea-South_West_Coast,""","
"""",Cauvery,""",""",Cauvery,""",""",NA,""","
"""",Central_Iran,""",""",Central_Iran,""",""",NA,""","
"""",Central_Patagonia_Highlands,""",""",Central_Patagonia_Highlands,""",""",NA,""","
"""",Chao_Phraya,""",""",Chao_Phraya,""",""",NA,""","
"""",China_Coast,""",""",China_Coast,""",""",NA,""","
"""",Churchill,""",""",Churchill,""",""",NA,""","
"""",Colombia_Ecuador_Pacific_Coast,""",""",Colombia-Ecuador-Pacific_Coast,""",""",Colombia-Ecuador-Pacific_Coast,""","
"""",Congo,""",""",Congo,""",""",NA,""","
"""",Danube,""",""",Danube,""",""",NA,""","
"""",Daugava,""",""",Daugava,""",""",NA,""","
"""",Dead_Sea,""",""",Dead_Sea,""",""",NA,""","
"""",Denmark_Germany_Coast,""",""",Denmark-Germany_Coast,""",""",Denmark-Germany_Coast,""","
"""",Dnieper,""",""",Dnieper,""",""",NA,""","
"""",Dniester,""",""",Dniester,""",""",NA,""","
"""",Don,""",""",Don,""",""",NA,""","
"""",Douro,""",""",Douro,""",""",NA,""","
"""",East_Brazil_South_Atlantic_Coast,""",""",East_Brazil-South_Atlantic_Coast,""",""",East_Brazil-South_Atlantic_Coast,""","
"""",Eastern_Jordan_Syria,""",""",Eastern_Jordan-Syria,""",""",Eastern_Jordan-Syria,""","
"""",Ebro,""",""",Ebro,""",""",NA,""","
"""",Elbe,""",""",Elbe,""",""",NA,""","
"""",Ems_Weser,""",""",Ems-Weser,""",""",Ems-Weser,""","
"""",England_and_Wales,""",""",England_and_Wales,""",""",NA,""","
"""",Farahrud,""",""",Farahrud,""",""",NA,""","
"""",Finland,""",""",Finland,""",""",NA,""","
"""",Fly,""",""",Fly,""",""",NA,""","
"""",France_South_Coast,""",""",France-South_Coast,""",""",France-South_Coast,""","
"""",France_West_Coast,""",""",France-West_Coast,""",""",France-West_Coast,""","
"""",Fraser,""",""",Fraser,""",""",NA,""","
"""",Ganges_Bramaputra,""",""",Ganges-Bramaputra,""",""",Ganges-Bramaputra,""","
