,~gcamMapBasins,",",~gcamBasins,",",~basins2Change,","
"""",Gironde,""",""",Gironde,""",""",NA,""","
"""",Gobi_Interior,""",""",Gobi_Interior,""",""",NA,""","
"""",Godavari,""",""",Godavari,""",""",NA,""","
"""",Great_Basin,""",""",Great,""",""",Great,""","
"""",Great_Lakes_Basin,""",""",Great_Lakes,""",""",Great_Lakes,""","
"""",Grijalva_Usumacinta,""",""",Grijalva-Usumacinta,""",""",Grijalva-Usumacinta,""","
"""",Guadalquivir,""",""",Guadalquivir,""",""",NA,""","
"""",Guadiana,""",""",Guadiana,""",""",NA,""","
"""",Gulf_of_Guinea,""",""",Gulf_of_Guinea,""",""",NA,""","
"""",Gulf_of_Thailand_Coast,""",""",Gulf_of_Thailand_Coast,""",""",NA,""","
"""",Hainan,""",""",Hainan,""",""",NA,""","
"""",HamuniMashkel,""",""",Hamun-i-Mashkel,""",""",Hamun-i-Mashkel,""","
"""",Hawaii,""",""",Hawaii,""",""",NA,""","
"""",Helmand,""",""",Helmand,""",""",NA,""","
"""",Hong_(Red_River),""",""",Hong-Red_River,""",""",Hong-Red_River,""","
"""",Huang_He,""",""",Huang_He,""",""",NA,""","
"""",Hudson_Bay_Coast,""",""",Hudson_Bay_Coast,""",""",NA,""","
"""",Iceland,""",""",Iceland,""",""",NA,""","
"""",India_East_Coast,""",""",India_East_Coast,""",""",NA,""","
"""",India_North_East_Coast,""",""",India_North_East_Coast,""",""",NA,""","
"""",India_South_Coast,""",""",India_South_Coast,""",""",NA,""","
"""",India_West_Coast,""",""",India_West_Coast,""",""",NA,""","
"""",Indus,""",""",Indus,""",""",NA,""","
"""",Ireland,""",""",Ireland,""",""",NA,""","
"""",Irian_Jaya_Coast,""",""",Irian_Jaya_Coast,""",""",NA,""","
"""",Irrawaddy,""",""",Irrawaddy,""",""",NA,""","
"""",Isthmus_of_Tehuantepec,""",""",Isthmus_of_Tehuantepec,""",""",NA,""","
"""",Italy_East_Coast,""",""",Italy-East_Coast,""",""",Italy-East_Coast,""","
"""",Italy_West_Coast,""",""",Italy-West_Coast,""",""",Italy-West_Coast,""","
"""",Japan,""",""",Japan,""",""",NA,""","
"""",Java_Timor,""",""",Java-Timor,""",""",Java-Timor,""","
"""",Kalimantan,""",""",Kalimantan,""",""",NA,""","
"""",Kara_Sea_Coast,""",""",Kara_Sea_Coast,""",""",NA,""","
"""",Krishna,""",""",Krishna,""",""",NA,""","
"""",La_Plata,""",""",La_Plata,""",""",NA,""","
"""",La_Puna_Region,""",""",La_Puna_Region,""",""",NA,""","
"""",Lake_Balkash,""",""",Lake_Balkash,""",""",NA,""","
"""",Lake_Chad,""",""",Lake_Chad,""",""",NA,""","
"""",Lena,""",""",Lena,""",""",NA,""","
"""",Limpopo,""",""",Limpopo,""",""",NA,""","
"""",Loire,""",""",Loire,""",""",NA,""","
"""",Lower_Colorado_River_Basin,""",""",Lower_Colorado_River,""",""",Lower_Colorado_River,""","
"""",Lower_Mississippi_River_Basin,""",""",Lower_Mississippi_River,""",""",Lower_Mississippi_River,""","
"""",Mackenzie,""",""",Mackenzie,""",""",NA,""","
"""",Madasgacar,""",""",Madasgacar,""",""",NA,""","
"""",Magdalena,""",""",Magdalena,""",""",NA,""","
"""",Mahandi,""",""",Mahandi,""",""",NA,""","
"""",Mahi,""",""",Mahi,""",""",NA,""","
"""",Mar_Chiquita,""",""",Mar_Chiquita,""",""",NA,""","
"""",Mediterranean_Sea_East_Coast,""",""",Mediterranean_Sea_Islands,""",""",NA,""","
"""",Mediterranean_Sea_Islands,""",""",Mediterranean_Sea-East_Coast,""",""",Mediterranean_Sea-East_Coast,""","
"""",Mediterranean_South_Coast,""",""",Mediterranean_South_Coast,""",""",NA,""","
"""",Mekong,""",""",Mekong,""",""",NA,""","
"""",Mexico_Interior,""",""",Mexico-Interior,""",""",Mexico-Interior,""","
"""",Mexico_Northwest_Coast,""",""",Mexico-Northwest_Coast,""",""",Mexico-Northwest_Coast,""","
"""",Micronesia,""",""",NA,""",""",NA,""","
"""",Mid_Atlantic_Basin,""",""",Mid_Atlantic,""",""",Mid_Atlantic,""","
"""",Missouri_River_Basin,""",""",Missouri_River,""",""",Missouri_River,""","
"""",Murray_Darling,""",""",Murray-Darling,""",""",Murray-Darling,""","
"""",Namibia_Coast,""",""",Namibia-Coast,""",""",Namibia-Coast,""","
"""",Narmada,""",""",Narmada,""",""",NA,""","
"""",Narva,""",""",Narva,""",""",NA,""","
"""",Negro,""",""",Negro,""",""",NA,""","
"""",Neman,""",""",Neman,""",""",NA,""","
"""",Neva,""",""",Neva,""",""",NA,""","
"""",New_England_Basin,""",""",New_England,""",""",New_England,""","
"""",New_Zealand,""",""",New_Zealand,""",""",NA,""","
"""",Niger,""",""",Niger,""",""",NA,""","
"""",Nile,""",""",Nile,""",""",NA,""","
"""",North_and_South_Korea,""",""",North_and_South_Korea,""",""",NA,""","
"""",North_Argentina_South_Atlantic_Coast,""",""",North_Argentina-South_Atlantic_Coast,""",""",North_Argentina-South_Atlantic_Coast,""","
"""",North_Borneo_Coast,""",""",North_Borneo_Coast,""",""",NA,""","
"""",North_Brazil_South_Atlantic_Coast,""",""",North_Brazil-South_Atlantic_Coast,""",""",North_Brazil-South_Atlantic_Coast,""","
"""",North_Chile_Pacific_Coast,""",""",North_Chile-Pacific_Coast,""",""",North_Chile-Pacific_Coast,""","
"""",North_Gulf,""",""",North_Gulf,""",""",NA,""","
"""",North_Marina_Islands_and_Guam,""",""",NA,""",""",NA,""","
"""",Northeast_South_America_South_Atlantic_Coast,""",""",Northeast_South_America-South_Atlantic_Coast,""",""",Northeast_South_America-South_Atlantic_Coast,""","
"""",Northern_Dvina,""",""",Northern_Dvina,""",""",NA,""","
"""",Northwest_Territories,""",""",Northwest_Territories,""",""",NA,""","
"""",Ob,""",""",Ob,""",""",NA,""","
"""",Oder,""",""",Oder,""",""",NA,""","
"""",Ohio_River_Basin,""",""",Ohio_River,""",""",Ohio_River,""","
"""",Orange,""",""",Orange,""",""",NA,""","
"""",Orinoco,""",""",Orinoco,""",""",NA,""","
"""",Pacific_and_Arctic_Coast,""",""",Pacific_and_Arctic_Coast,""",""",NA,""","
"""",Pacific_Central_Coast,""",""",Pacific_Central_Coast,""",""",NA,""","
"""",Pacific_Northwest_Basin,""",""",Pacific_Northwest,""",""",Pacific_Northwest,""","
"""",Palau_and_East_Indonesia,""",""",Palau_and_East_Indonesia,""",""",NA,""","
"""",Pampas_Region,""",""",Pampas_Region,""",""",NA,""","
"""",Papaloapan,""",""",Papaloapan,""",""",NA,""","
"""",Papua_New_Guinea_Coast,""",""",Papua_New_Guinea_Coast,""",""",NA,""","
"""",Parnaiba,""",""",Parnaiba,""",""",NA,""","
"""",Peninsula_Malaysia,""",""",Peninsula_Malaysia,""",""",NA,""","
"""",Pennar,""",""",Pennar,""",""",NA,""","
"""",Persian_Gulf_Coast,""",""",Persian_Gulf_Coast,""",""",NA,""","
"""",Peru_Pacific_Coast,""",""",Peru-Pacific_Coast,""",""",Peru-Pacific_Coast,""","
"""",Philippines,""",""",Philippines,""",""",NA,""","
"""",Plateau_of_Tibet_Interior,""",""",Plateau_of_Tibet_Interior,""",""",NA,""","
"""",Po,""",""",Po,""",""",NA,""","
"""",Poland_Coast,""",""",Poland_Coast,""",""",NA,""","
"""",Red_Sea_East_Coast,""",""",Red_Sea-East_Coast,""",""",Red_Sea-East_Coast,""","
"""",Rfo_Balsas,""",""",NA,""",""",NA,""","
"""",Rfo_Lerma,""",""",NA,""",""",NA,""","
"""",Rfo_Verde,""",""",NA,""",""",NA,""","
"""",Rh(ne,""",""",Rhone,""",""",Rhone,""","
"""",Rhine,""",""",Rhine,""",""",NA,""","
"""",Rift_Valley,""",""",Rift_Valley,""",""",NA,""","
"""",Rio_Grande_River_Basin,""",""",Rio_Balsas,""",""",Rio_Balsas,""","
"""",Russia_Barents_Sea_Coast,""",""",Rio_Grande_River,""",""",Rio_Grande_River,""","
"""",Russia_South_East_Coast,""",""",Rio_Lerma,""",""",Rio_Lerma,""","
"""",Sabarmati,""",""",Rio_Verde,""",""",Rio_Verde,""","
"""",Salinas_Grandes,""",""",Russia-Barents_Sea_Coast,""",""",Russia-Barents_Sea_Coast,""","
"""",Salween,""",""",Russia-South_East_Coast,""",""",Russia-South_East_Coast,""","
"""",Sao_Francisco,""",""",Sabarmati,""",""",NA,""","
"""",Saskatchewan_Nelson,""",""",Salinas_Grandes,""",""",NA,""","
"""",Scandinavia_North_Coast,""",""",Salween,""",""",NA,""","
"""",Scheldt,""",""",Sao_Francisco,""",""",NA,""","
"""",Scotland,""",""",Saskatchewan-Nelson,""",""",Saskatchewan-Nelson,""","
"""",Seine,""",""",Scandinavia-North_Coast,""",""",Scandinavia-North_Coast,""","
"""",Senegal,""",""",Scheldt,""",""",NA,""","
"""",Sepik,""",""",Scotland,""",""",NA,""","
"""",Shebelli_Juba,""",""",Seine,""",""",NA,""","
"""",Siberia_North_Coast,""",""",Senegal,""",""",NA,""","
"""",Siberia_West_Coast,""",""",Sepik,""",""",NA,""","
"""",Sinai_Peninsula,""",""",Shebelli-Juba,""",""",Shebelli-Juba,""","
"""",Sittang,""",""",Siberia-North_Coast,""",""",Siberia-North_Coast,""","
"""",Solomon_Islands,""",""",Siberia-West_Coast,""",""",Siberia-West_Coast,""","
"""",South_Africa_South_Coast,""",""",Sinai_Peninsula,""",""",NA,""","
"""",South_Africa_West_Coast,""",""",Sittang,""",""",NA,""","
"""",South_America_Colorado,""",""",Solomon_Islands,""",""",NA,""","
"""",South_Argentina_South_Atlantic_Coast,""",""",South_Africa-South_Coast,""",""",South_Africa-South_Coast,""","
"""",South_Atlantic_Gulf_Basin,""",""",South_Africa-West_Coast,""",""",South_Africa-West_Coast,""","
"""",South_Chile_Pacific_Coast,""",""",South_America-Colorado,""",""",South_America-Colorado,""","
"""",South_China_Sea_Coast,""",""",South_Argentina-South_Atlantic_Coast,""",""",South_Argentina-South_Atlantic_Coast,""","
"""",South_Pacific_Islands,""",""",South_Atlantic_Gulf,""",""",South_Atlantic_Gulf,""","
"""",Southern_Central_America,""",""",South_Chile-Pacific_Coast,""",""",South_Chile-Pacific_Coast,""","
"""",Spain_Portugal_Atlantic_Coast,""",""",South_China_Sea_Coast,""",""",NA,""","
"""",Spain_South_and_East_Coast,""",""",South_Pacific_Islands,""",""",NA,""","
"""",Sri_Lanka,""",""",Southern_Central_America,""",""",NA,""","
"""",St_Lawrence,""",""",Spain-Portugal-Atlantic_Coast,""",""",Spain-Portugal-Atlantic_Coast,""","
"""",Sulawesi,""",""",Spain-South_and_East_Coast,""",""",Spain-South_and_East_Coast,""","
"""",Sumatra,""",""",Sri_Lanka,""",""",NA,""","
"""",Sweden,""",""",St_Lawrence,""",""",NA,""","
"""",Syr_Darya,""",""",Sulawesi,""",""",NA,""","
"""",Tagus,""",""",Sumatra,""",""",NA,""","
"""",Taiwan,""",""",Sweden,""",""",NA,""","
"""",Tapti,""",""",Syr_Darya,""",""",NA,""","
"""",Tarim_Interior,""",""",Tagus,""",""",NA,""","
"""",Tasmania,""",""",Taiwan,""",""",NA,""","
"""",Tennessee_River_Basin,""",""",Tapti,""",""",NA,""","
"""",Texas_Gulf_Coast_Basin,""",""",Tarim_Interior,""",""",NA,""","
"""",Tiber,""",""",Tasmania,""",""",NA,""","
"""",Tigris_Euphrates,""",""",Tennessee_River,""",""",Tennessee_River,""","
"""",Tocantins,""",""",Texas_Gulf_Coast,""",""",Texas_Gulf_Coast,""","
"""",Upper_Colorado_River_Basin,""",""",Tiber,""",""",NA,""","
"""",Upper_Mississippi_Basin,""",""",Tigris-Euphrates,""",""",Tigris-Euphrates,""","
"""",Ural,""",""",Tocantins,""",""",NA,""","
"""",Uruguay_Brazil_South_Atlantic_Coast,""",""",Upper_Colorado_River,""",""",Upper_Colorado_River,""","
"""",Viet_Nam_Coast,""",""",Upper_Mississippi,""",""",Upper_Mississippi,""","
"""",Volga,""",""",Ural,""",""",NA,""","
"""",Volta,""",""",Uruguay-Brazil-South_Atlantic_Coast,""",""",Uruguay-Brazil-South_Atlantic_Coast,""","
"""",Wisla,""",""",Viet_Nam-Coast,""",""",Viet_Nam-Coast,""","
"""",Xun_Jiang,""",""",Volga,""",""",NA,""","
"""",Yangtze,""",""",Volta,""",""",NA,""","
"""",Yasai,""",""",Wisla,""",""",NA,""","
"""",Yenisey,""",""",Xun_Jiang,""",""",NA,""","
"""",Yucat_µ„ön_Peninsula,""",""",Yangtze,""",""",NA,""","
"""",Zambezi,""",""",Yasai,""",""",NA,""","
"""",Ziya_He_Interior,""",""",Yenisey,""",""",NA,""","
,,""",""",Yucatan_Peninsula,""",""",Yucatan_Peninsula,""","
,,""",""",Zambezi,""",""",NA,""","
,,""",""",Ziya_He-Interior,""",""",Ziya_He-Interior,""","
