scenario,region,crop,metis_basin,year,prod,land,productivity
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2010,0.31534,0.26096,1.208384427
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2015,0.313242,0.2507,1.249469485
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2020,0.327454,0.253652,1.29095769
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2025,0.337761,0.253487,1.332458864
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2030,0.346475,0.252174,1.373952112
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2035,0.357331,0.254837,1.402194344
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2040,0.370996,0.259385,1.43029088
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2045,0.380932,0.26125,1.458112919
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,,X2050,0.385972,0.259682,1.486325583
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2010,44.76158,62.11698,0.720601356
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2015,44.73581,60.48987,0.739558706
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2020,46.79626,61.66504,0.758878288
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2025,48.2869,62.05084,0.778182858
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2030,49.53953,62.10845,0.797629469
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2035,51.36277,63.33767,0.810935578
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2040,53.49757,64.90565,0.824235949
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2045,55.09117,65.79409,0.83732703
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Amur,X2050,55.96332,65.7935,0.850590408
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2010,23.71391,32.25998,0.735087561
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2015,23.47804,31.21809,0.752065229
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2020,24.22383,31.48255,0.76943672
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2025,24.74322,31.44945,0.786761613
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2030,25.18115,31.30933,0.804269845
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2035,25.9447,31.78417,0.816277411
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2040,26.89502,32.46964,0.828312849
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2045,27.63698,32.89724,0.840100264
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Bo_Hai_Korean_Bay_North_Coast,X2050,28.10129,32.98175,0.852025438
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2010,15.62146,13.36224,1.169074946
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2015,15.16711,12.72574,1.191845032
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2020,15.4084,12.67928,1.215242506
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2025,15.47809,12.49777,1.238468143
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2030,15.4986,12.28078,1.262020816
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2035,15.68917,12.27425,1.278218221
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2040,16.02388,12.37841,1.294502283
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2045,16.23827,12.39266,1.310313524
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,China_Coast,X2050,16.2779,12.27355,1.326258499
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2010,0.0070277,0.01631302,0.430803125
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2015,0.006788818,0.015517063,0.437506634
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2020,0.007157011,0.016104357,0.444414577
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2025,0.007495372,0.016612475,0.451189362
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2030,0.007914951,0.01727877,0.458073752
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2035,0.008624948,0.018635698,0.462818618
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2040,0.009336657,0.01996701,0.467604163
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2045,0.009956931,0.02108769,0.472167933
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ganges_Bramaputra,X2050,0.010408373,0.02183289,0.476729054
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2010,2.0095639,2.4063984,0.835091937
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2015,1.9528803,2.3020044,0.848339082
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2020,2.0551113,2.3841382,0.861993361
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2025,2.1423317,2.4472532,0.875402553
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2030,2.2421245,2.5219923,0.889029082
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2035,2.4244746,2.6985881,0.898423364
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2040,2.61391,2.8791063,0.907889368
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2045,2.7747266,3.0260676,0.91694138
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Gobi_Interior,X2050,2.8886708,3.1195334,0.925994509
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2010,0.04085622,0.106392,0.384015903
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2015,0.04009189,0.1022528,0.392085987
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2020,0.04139088,0.1033829,0.400364857
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2025,0.04224124,0.1033797,0.408602849
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2030,0.04301736,0.1031727,0.41694518
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2035,0.04436549,0.1049634,0.422675809
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2040,0.04598718,0.1073388,0.428430167
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2045,0.04721067,0.1087705,0.434039285
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hainan,X2050,0.04786891,0.1088653,0.439707694
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2010,0.8080012,2.7226686,0.296768105
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2015,0.8135523,2.6564582,0.306254508
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2020,0.860724,2.7250479,0.315856466
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2025,0.8981468,2.759615,0.325460907
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2030,0.9319853,2.7813524,0.335083501
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2035,0.9737287,2.8501473,0.341641536
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2040,1.0213809,2.93356,0.34817113
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2045,1.0587147,2.985391,0.354631839
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Hong_(Red_River),X2050,1.0824863,2.9970736,0.361181087
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2010,20.29086,34.7275,0.584287956
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2015,19.87017,33.40339,0.594854893
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2020,20.4476,33.75703,0.605728644
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2025,20.829,33.78651,0.616488652
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2030,21.16959,33.74097,0.627414979
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2035,21.91339,34.51289,0.634933499
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2040,22.82037,35.5179,0.642503357
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2045,23.54235,36.22922,0.64981664
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Huang_He,X2050,23.99831,36.51744,0.657173942
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2010,0.001691,0.00141,1.19929078
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2015,0.001697,0.001379,1.230601885
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2020,0.001882,0.001489,1.263935527
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2025,0.002068,0.001596,1.295739348
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2030,0.002299,0.001731,1.328134027
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2035,0.002631,0.001949,1.349923037
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2040,0.00296832,0.002163,1.372316227
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2045,0.00328529,0.002356,1.394435484
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Indus,X2050,0.00354728,0.002503,1.417211346
