scenario,region,crop,metis_basin,year,prod,land,productivity
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2010,0.0986253,0.230936,0.427067672
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2015,0.0967957,0.2203657,0.439250301
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2020,0.1006397,0.2228362,0.451630839
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2025,0.103222,0.2224563,0.464010235
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2030,0.1055059,0.2214411,0.4764513
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2035,0.1092426,0.2252653,0.484950856
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2040,0.113338,0.229692,0.493434686
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2045,0.1160901,0.2313456,0.501803795
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Irrawaddy,X2050,0.1171159,0.22951,0.510286698
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2010,0.5951558,0.7481454,0.795508199
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2015,0.5818779,0.7196729,0.80853107
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2020,0.6069716,0.7384551,0.821947875
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2025,0.6258357,0.749366,0.835153583
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2030,0.644854,0.7599286,0.848571826
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2035,0.6813158,0.7942444,0.857816309
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2040,0.7208577,0.831311,0.8671336
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2045,0.7520597,0.8584505,0.876066471
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Lake_Balkash,X2050,0.7716289,0.8718786,0.88501874
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2010,0.6016182,2.0169426,0.298282261
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2015,0.5980375,1.9442305,0.307595987
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2020,0.634688,2.0019655,0.317032436
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2025,0.6649423,2.0367635,0.326470059
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2030,0.6950689,2.0690871,0.335930227
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2035,0.7368442,2.1521124,0.342381838
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2040,0.7807182,2.2382397,0.348809022
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2045,0.8155758,2.2963291,0.355165033
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Mekong,X2050,0.8377224,2.3166654,0.361606989
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2010,0.0565427,0.0962332,0.587559179
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2015,0.05527497,0.09256817,0.597127177
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2020,0.0582255,0.0959257,0.606985406
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2025,0.06062716,0.09831158,0.616683813
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2030,0.06320722,0.10088297,0.626540039
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2035,0.06797959,0.10733655,0.633331237
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2040,0.07297676,0.11399517,0.640174141
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2045,0.07702317,0.11909563,0.646733805
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ob,X2050,0.07965299,0.1219232,0.653304621
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2010,0.2655205,0.5092996,0.521344411
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2015,0.2570506,0.4807535,0.534682743
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2020,0.2623709,0.4785278,0.548287686
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2025,0.2638463,0.4695799,0.561877329
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2030,0.2637871,0.4582997,0.575577728
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2035,0.2676227,0.4575092,0.584955887
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2040,0.2732698,0.4597888,0.594337661
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2045,0.2753043,0.4561331,0.603561329
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Russia_South_East_Coast,X2050,0.2733084,0.4459244,0.612902994
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2010,0.3497425,0.9900166,0.353269329
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2015,0.3492325,0.9582417,0.36445137
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2020,0.3758269,1.0001386,0.375774818
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2025,0.4000129,1.0333568,0.387100467
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2030,0.4259147,1.0689312,0.398449124
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2035,0.4615299,1.1362524,0.406186073
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2040,0.4989032,1.2053955,0.413891706
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2045,0.5314537,1.2608228,0.421513396
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Salween,X2050,0.5559864,1.2952787,0.42924075
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2010,0.204638,0.2560212,0.799300995
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2015,0.200985,0.2462264,0.81626097
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2020,0.2069779,0.2482782,0.833653136
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2025,0.2106428,0.2475341,0.850964776
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2030,0.2138469,0.2462277,0.868492456
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2035,0.2194055,0.2491745,0.880529508
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2040,0.2264727,0.2537181,0.892615466
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2045,0.2315951,0.2560745,0.904405163
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,South_China_Sea_Coast,X2050,0.2339711,0.2553388,0.916316283
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2010,3.75E-05,5.22E-05,0.718390805
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2015,3.78E-05,5.09E-05,0.742632613
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2020,4.12E-05,5.38E-05,0.765799257
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2025,4.46E-05,5.63E-05,0.792184725
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2030,4.84E-05,5.93E-05,0.81618887
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2035,5.37E-05,6.44E-05,0.833850932
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2040,5.92E-05,6.97E-05,0.849354376
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2045,6.46E-05,7.45E-05,0.867114094
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Syr_Darya,X2050,6.91E-05,7.82E-05,0.883631714
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2010,1.9148382,2.8994776,0.660407999
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2015,1.8585563,2.7700767,0.670940375
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2020,1.9656107,2.8830122,0.681790629
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2025,2.0581665,2.972296,0.692450045
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2030,2.1648369,3.0781861,0.703283307
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2035,2.3614587,3.3225036,0.710746769
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2040,2.5632456,3.5686385,0.718269895
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2045,2.7355398,3.7707197,0.725468881
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Tarim_Interior,X2050,2.859926,3.9034274,0.732670473
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2010,4.331683,9.459022,0.457941952
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2015,4.323098,9.169273,0.471476637
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2020,4.526896,9.329675,0.485214758
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2025,4.681794,9.383206,0.498954622
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2030,4.82361,9.407395,0.512746621
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2035,4.999,9.5736,0.522165121
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2040,5.207744,9.797167,0.531556112
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2045,5.372731,9.934207,0.540831392
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Xun_Jiang,X2050,5.47414,9.948765,0.550233119
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2010,30.38098,45.08566,0.673850178
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2015,29.79891,43.20504,0.689709117
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2020,30.76942,43.58713,0.705929021
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2025,31.43412,43.53092,0.722110169
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2030,32.04923,43.40037,0.738455225
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2035,32.97994,43.99306,0.749662333
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2040,34.13073,44.85624,0.760891461
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2045,35.04383,45.39978,0.771894269
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Yangtze,X2050,35.58064,45.43957,0.783032058
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2010,28.84453,33.97294,0.849044269
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2015,28.43582,32.88914,0.864596034
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2020,29.09991,33.04567,0.880596762
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2025,29.47252,32.87721,0.896442247
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2030,29.74761,32.59916,0.912526887
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2035,30.39046,32.9046,0.923593054
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2040,31.27814,33.46215,0.934731928
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2045,31.94305,33.78406,0.94550655
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,Corn,Ziya_He_Interior,X2050,32.28501,33.75848,0.956352596
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2010,7.70031,2.288048,3.365449501
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2015,8.17623,2.290975,3.568886609
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2020,8.59421,2.278103,3.772529161
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2025,8.94713,2.249548,3.977301218
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2030,9.23801,2.208827,4.182314867
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2035,9.34056,2.173319,4.297832026
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2040,9.39561,2.129121,4.412905608
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2045,9.38392,2.072742,4.527297657
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,,X2050,9.31385,2.006365,4.642151353
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2010,29.23006,22.3397,1.308435655
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2015,30.77267,22.31434,1.379053559
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2020,32.25583,22.24484,1.450036503
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2025,33.52862,22.03205,1.52181118
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2030,34.59178,21.70147,1.593983265
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2035,34.99806,21.42933,1.633184985
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2040,35.17517,21.02417,1.673082457
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2045,35.13402,20.50902,1.71310087
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Amur,X2050,34.85816,19.8871,1.752802571
"SSP2_Ref,date=2018-18-12T16:01:35-05:00",China,MiscCrop,Bo_Hai_Korean_Bay_North_Coast,X2010,29.63018,21.49614,1.378395377
