scenario,region,subRegion,param,units,year,demandClass,localData,supplySector,supplySubSector,dataSource
Reference,Argentina,Mendoza_alta_barrancas,watWithdrawBySec,km3,2010,Ag_fruittrees,0.001,Water,W_SW_Runoff,COIRCO_2013_report
Reference,Argentina,Neuquen_alta_barrancas,watWithdrawBySec,km3,2010,Ag_pasture,0.0087,Water,W_SW_Runoff,COIRCO_2013_report
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_pasture,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_cereals,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_vegetables,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_pasture,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_cereals,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_vegetables,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_pasture,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_cereals,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_specialty,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_pasture,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_cereals,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_specialty,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_specialty,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_cereals,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_pasture,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_pasture,0.001512,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_specialty,0.001512,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_vegetables,0.001512,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_pasture,0.000168,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_specialty,0.000168,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_vegetables,0.000168,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_fruittrees,0.06069375,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_pasture,0.06069375,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_vegetables,6.07E-02,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_cereals,6.07E-02,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_fruittrees,6.74E-03,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_pasture,6.74E-03,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_vegetables,0.00674375,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_cereals,0.00674375,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_cereals,0.57,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_vegetables,0.57,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_pasture,5.70E-01,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_cereals,6.33E-02,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_vegetables,6.33E-02,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_pasture,6.33E-02,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Reference,Argentina,Mendoza_alta_barrancas,watWithdrawBySec,km3,2010,municipal,0.00E+00,Water,W_SW_Runoff,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,watWithdrawBySec,km3,2010,municipal,0.00E+00,Water,W_SW_Runoff,COIRCO_2013_report
Reference,Argentina,Neuquen_alta_barrancas,watWithdrawBySec,km3,2010,municipal,2.60E-04,Water,W_SW_Runoff,COIRCO_2013_report
Reference,Argentina,Mendoza_media,watWithdrawBySec,km3,2010,municipal,1.08E-03,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Mendoza_media,watWithdrawBySec,km3,2010,municipal,1.20E-04,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,municipal,0.002682,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,municipal,0.000298,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,municipal,0.002493,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,municipal,0.000277,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,municipal,0.001494,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,municipal,0.000166,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,municipal,0.000747,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,municipal,0.000083,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,export,0.0021,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,municipal,0.00189,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,municipal,0.00021,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,municipal,0.002268,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,municipal,2.52E-04,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,watWithdrawBySec,km3,2010,Electricity_RefLiqDiesel,3.14E-07,Water,W_SW_Runoff,GCAM cooling technology water withdrawal
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Electricity_Gas,7.17E-05,Water,W_SW_Upstream,GCAM cooling technology water withdrawal
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Electricity_RefLiqDiesel,3.44E-05,Water,W_SW_Upstream,GCAM cooling technology water withdrawal
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Electricity_RefLiqDiesel,1.49E-07,Water,W_SW_Upstream,GCAM cooling technology water withdrawal
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Electricity_Hydro,0.00E+00,Water,W_SW_Upstream,GCAM cooling technology water withdrawal
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_cows,2.67E-03,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_cows,2.97E-04,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_heifers,7.81E-04,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_heifers,8.67E-05,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_steers,0.000531763,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_steers,5.91E-05,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_calves,0.000514434,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_calves,5.72E-05,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_bulls,6.06E-05,Water,W_SW_Upstream,COIRCO_2013_report
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Livestock_bulls,6.73E-06,Water,W_GW_Reservoir,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,residential,0.756570742,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,residential,23.07206826,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_alta_barrancas,elecDemand,GWh,2010,residential,7.46025,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,residential,18.39044896,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,residential,39.07970404,Electricity,Electricity_Gas,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,residential,40.98290205,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,residential,229.8456243,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,elecDemand,GWh,2010,residential,36.956574,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,LaPampa_media,elecDemand,GWh,2010,residential,9.236426,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,residential,0.379168795,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,residential,3.685744205,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Corfo,elecDemand,GWh,2010,residential,41.523715,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,commercial,0.216176069,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,commercial,6.592415931,Electricity,Electricity_Import,
Reference,Argentina,Neuquen_alta_barrancas,elecDemand,GWh,2010,commercial,0,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,commercial,0,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,commercial,0,Electricity,Electricity_Gas,
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,commercial,20.86054075,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,commercial,116.992789,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,elecDemand,GWh,2010,commercial,20.835906,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,LaPampa_media,elecDemand,GWh,2010,commercial,3.19665,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,commercial,0.148070309,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,commercial,1.439330691,Electricity,Electricity_Import,
Reference,Argentina,Corfo,elecDemand,GWh,2010,commercial,20.123545,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,industrial,0.730407044,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,industrial,22.27419096,Electricity,Electricity_Import,
Reference,Argentina,Neuquen_alta_barrancas,elecDemand,GWh,2010,industrial,0,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,industrial,170.796864,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,industrial,362.943336,Electricity,Electricity_Gas,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,industrial,75.72226607,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,industrial,424.6754292,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,elecDemand,GWh,2010,industrial,24.013419,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,LaPampa_media,elecDemand,GWh,2010,industrial,6.567185,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,industrial,0.0110826,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,industrial,0.1077294,Electricity,Electricity_Import,
Reference,Argentina,Corfo,elecDemand,GWh,2010,industrial,8.886225,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,other,0.372634944,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Mendoza_alta_riogrande,elecDemand,GWh,2010,other,11.36372106,Electricity,Electricity_Import,
Reference,Argentina,Neuquen_alta_barrancas,elecDemand,GWh,2010,other,5.477967,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,other,33.62627584,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,other,71.45583616,Electricity,Electricity_Gas,
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,other,20.22229113,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,RioNegro_media,elecDemand,GWh,2010,other,113.4132747,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,RioNegro_baja,elecDemand,GWh,2010,other,24.52153,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,LaPampa_media,elecDemand,GWh,2010,other,4.568789,Electricity,Electricity_Hydro,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,other,0.443470296,Electricity,Electricity_RefLiqDiesel,COIRCO_2013_report
Reference,Argentina,LaPampa_baja,elecDemand,GWh,2010,other,4.310792704,Electricity,Electricity_Import,
Reference,Argentina,Corfo,elecDemand,GWh,2010,other,25.390125,Electricity,Electricity_Import,COIRCO_2013_report
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,export,1.34916064,Electricity,Electricity_RefLiqDiesel,
Reference,Argentina,Neuquen_media,elecDemand,GWh,2010,export,2.86696636,Electricity,Electricity_Gas,
Reference,Argentina,LaPampa_media,elecDemand,GWh,2010,export,134.218,Electricity,Electricity_Hydro,
Reference,Argentina,Corfo,agDemand,million pesos,2010,export,79.78459079,Agriculture,Ag_cereals,"no data, just assumed export"
Reference,Argentina,Corfo,agDemand,million pesos,2010,export,340.64928,Agriculture,Ag_vegetables,"no data, just assumed export"
Reference,Argentina,Corfo,agDemand,million pesos,2010,export,26.37553027,Agriculture,Ag_pasture,"no data, just assumed export"
Reference,Argentina,LaPampa_baja,agDemand,million pesos,2010,export,0.084956223,Agriculture,Ag_pasture,"no data, just assumed export"
Reference,Argentina,LaPampa_baja,agDemand,million pesos,2010,export,0.740033784,Agriculture,Ag_specialty,"no data, just assumed export"
Reference,Argentina,LaPampa_baja,agDemand,million pesos,2010,export,0.953006914,Agriculture,Ag_vegetables,"no data, just assumed export"
Reference,Argentina,RioNegro_baja,agDemand,million pesos,2010,export,16.61432634,Agriculture,Ag_fruittrees,"no data, just assumed export"
Reference,Argentina,RioNegro_baja,agDemand,million pesos,2010,export,0.389234577,Agriculture,Ag_pasture,"no data, just assumed export"
Reference,Argentina,RioNegro_baja,agDemand,million pesos,2010,export,12.36881314,Agriculture,Ag_vegetables,"no data, just assumed export"
Reference,Argentina,RioNegro_baja,agDemand,million pesos,2010,export,3.232090055,Agriculture,Ag_cereals,"no data, just assumed export"
Reference,Argentina,RioNegro_media,agDemand,million pesos,2010,export,0.790910443,Agriculture,Ag_pasture,"no data, just assumed export"
Reference,Argentina,RioNegro_media,agDemand,million pesos,2010,export,0.097695417,Agriculture,Ag_cereals,"no data, just assumed export"
Reference,Argentina,RioNegro_media,agDemand,million pesos,2010,export,0.917641892,Agriculture,Ag_specialty,"no data, just assumed export"
Reference,Argentina,RioNegro_media,agDemand,million pesos,2010,export,1.318597328,Agriculture,Ag_fruittrees,"no data, just assumed export"
Reference,Argentina,RioNegro_media,agDemand,million pesos,2010,export,0,Agriculture,Ag_forest,"no data, just assumed export"
