scenario,region,subRegion,param,units,year,demandClass,supplySector,supplySubSector,dataSource,localData
Reference,Argentina,Mendoza_alta_barrancas,watWithdrawBySec,km3,2010,Ag_fruittrees,Water,W_SW_Runoff,COIRCO_2013_report,0.001
Reference,Argentina,Neuquen_alta_barrancas,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Runoff,COIRCO_2013_report,0.0087
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.061471146
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_cereals,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.003628107
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_fruittrees,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.00037556
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_vegetables,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.000125187
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.160833276
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_cereals,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.007960976
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_specialty,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.002838473
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_fruittrees,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.006867275
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_fruittrees,Water,W_SW_Reservoir,assumed evenly divided water demand across crops,0.05185601
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_specialty,Water,W_SW_Reservoir,assumed evenly divided water demand across crops,0.008670458
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_cereals,Water,W_SW_Reservoir,assumed evenly divided water demand across crops,0.137722685
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Reservoir,assumed evenly divided water demand across crops,0.034750846
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.00400938
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_specialty,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.000531247
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,Ag_vegetables,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.000499372
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_fruittrees,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.051077014
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.046722983
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_vegetables,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.016485174
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,Ag_cereals,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.155469829
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_cereals,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.977680572
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_vegetables,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.115661355
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,Ag_pasture,Water,W_SW_Upstream,assumed evenly divided water demand across crops,0.806558072
Reference,Argentina,Mendoza_alta_barrancas,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Runoff,COIRCO_2013_report,0
Reference,Argentina,Mendoza_alta_riogrande,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Runoff,COIRCO_2013_report,0
Reference,Argentina,Neuquen_alta_barrancas,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Runoff,COIRCO_2013_report,0.00026
Reference,Argentina,Mendoza_media,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.0012
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.00298
Reference,Argentina,RioNegro_media,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.00277
Reference,Argentina,LaPampa_media,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.00166
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.00083
Reference,Argentina,LaPampa_baja,watWithdrawBySec,km3,2010,export,Water,W_SW_Upstream,COIRCO_2013_report,0.0021
Reference,Argentina,RioNegro_baja,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.0021
Reference,Argentina,Corfo,watWithdrawBySec,km3,2010,municipal,Water,W_SW_Upstream,COIRCO_2013_report,0.00252
Reference,Argentina,Mendoza_alta_riogrande,watWithdrawBySec,km3,2010,Electricity_RefLiqDiesel,Water,W_SW_Runoff,GCAM cooling technology water withdrawal,3.14E-07
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Electricity_Gas,Water,W_SW_Upstream,GCAM cooling technology water withdrawal,7.17E-05
Reference,Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Electricity_RefLiqDiesel,Water,W_SW_Upstream,GCAM cooling technology water withdrawal,3.44E-05
